en,hi,confidence
"as the mountain could not wait upon mahomet, mahomet would go to the mountain",पहाड़ मुहम्मद के पास न आए तो मुहम्मद पहाड़ के पास गए,6
"as the twig is bent, so is the tree inclined","बचपन की डाली जैसी डले, वैसी ही रहे",7
"as you have brewed, so you must drink",जैसी करनी वैसी भरनी,9
"as you make your bed, so you must lie in it",जैसी करनी वैसी भरनी,9
"as you make your bed, so you must lie upon it",जैसी करनी वैसी भरनी,9
as you sow so shall you reap,जैसी करनी वैसी भरनी,10
"as you sow, so shall you reap",जैसी करनी वैसी भरनी,10
ask a silly question and you will get a silly answer,जैसा सवाल वैसा जवाब,9
"ask a silly question, get a silly answer",जैसा सवाल वैसा जवाब,9
"ask a stupid question, get a stupid answer",जैसा सवाल वैसा जवाब,9
ask no questions and hear no lies,"न पूछो, न सुनो",6
attack is the best form of defence,आक्रमण ही सर्वोत्तम रक्षा है,8
attack is the best form of defense,आक्रमण ही सर्वोत्तम रक्षा है,8
bad news travels fast,बुरी खबर जल्दी फैलती है,9
barking dogs never bite,जो गरजते हैं वे बरसते नहीं,10
barking dogs seldom bite,जो गरजते हैं वे बरसते नहीं,10
beauty is but skin-deep,"रूप एक दिन ढल जाता है, गुण सदा साथ रहते हैं",7
beauty is in the eye of the beholder,सुंदरता देखने वाले की नज़र में होती है,8
beauty is only skin deep,"रूप एक दिन ढल जाता है, गुण सदा साथ रहते हैं",7
beauty never boiled the pot,रूप से पेट नहीं भरता,9
beauty won't boil the pot,रूप से पेट नहीं भरता,9
beauty won't make the pot boil,रूप से पेट नहीं भरता,9
"before setting out on a mission of vengeance, dig two graves",बदला लेने वाला खुद भी जलता है,6
beggars can't be choosers,भिखारी को चुनाव का हक नहीं,8
beggars cannot be choosers,भिखारी को चुनाव का हक नहीं,8
behind every great man is a great woman,हर सफल पुरुष के पीछे एक स्त्री का हाथ होता है,9
behind every great man there stands a woman,हर सफल पुरुष के पीछे एक स्त्री का हाथ होता है,9
"behind every great man, there is a great woman",हर सफल पुरुष के पीछे एक स्त्री का हाथ होता है,9
behind every successful man there stands a woman,हर सफल पुरुष के पीछे एक स्त्री का हाथ होता है,9
better an egg today than a hen tomorrow,नौ नगद न तेरह उधार,9
better late than never,देर आए दुरुस्त आए,10
better safe than sorry,"सावधानी हटी, दुर्घटना घटी",10
better the devil you know,"जाना दुश्मन बेहतर, अनजाने से",6
better the devil you know than the devil you don't,"जाना दुश्मन बेहतर, अनजाने से",7
better the devil you know than the devil you don't know,"जाना दुश्मन बेहतर, अनजाने से",7
better the devil you know than the one you don't,"जाना दुश्मन बेहतर, अनजाने से",7
better the devil you know than the one you don't know,"जाना दुश्मन बेहतर, अनजाने से",7
better to light a candle than to curse the darkness,अंधेरे को कोसने से अच्छा है एक दिया जलाना,9
better to light a single candle than to curse the darkness,अंधेरे को कोसने से अच्छा है एक दिया जलाना,9
better to light one candle than to curse the darkness,अंधेरे को कोसने से अच्छा है एक दिया जलाना,9
better to light one small candle than to curse the darkness,अंधेरे को कोसने से अच्छा है एक दिया जलाना,9
better to remain silent and be thought a fool than to speak and remove all doubt,मौन सोना है,6
better wear out than rust out,लोहा लोहे को काटता है,3
beware of greeks bearing gifts,दुश्मन की मिठास से सावधान रहो,5
big fish eat little fish,बड़ी मछली छोटी मछली को खा जाती है,8
big things come in small packages,"छोटा पैकेट, बड़ा धमाका",8
bird in the hand,नौ नगद न तेरह उधार,8
birds of a feather,जैसा संग वैसा रंग,9
birds of a feather flock together,जैसा संग वैसा रंग,10
birds of the feather flock together,जैसा संग वैसा रंग,9
blood is thicker than water,खून का रिश्ता सबसे गहरा होता है,8
born with a silver spoon in one's mouth,सोने की चम्मच लेकर पैदा होना,7
boys will be boys,लड़के तो लड़के ही रहेंगे,7
brevity is the soul of wit,संक्षेप में ही सार है,7
business before pleasure,"पहले काम, फिर आराम",9
"buy cheap, buy twice","सस्ता रोए बार‑बार, महंगा रोए एक बार",9
"by failing to prepare, you are preparing to fail","जैसी तैयारी, वैसा परिणाम",6
caesar's wife must be above suspicion,चोर की दाढ़ी में तिनका,4
calm seas never made a good sailor,कठिनाइयाँ ही इंसान को मजबूत बनाती हैं,6
"can't live with 'em, can't live without 'em","न इनके बिना काम, न इनके साथ आराम",7
can't live with them and can't live without them,"न इनके बिना काम, न इनके साथ आराम",7
"can't live with them, can't live without them","न इनके बिना काम, न इनके साथ आराम",7
"cannot live with them, cannot live without them","न इनके बिना काम, न इनके साथ आराम",7
careless talk costs lives,दीवारों के भी कान होते हैं,8
carpe diem,कल किसने देखा है,8
cast not a clout till may be out,"सावधानी हटी, दुर्घटना घटी",5
charity begins at home,भलाई की शुरुआत घर से होती है,9
cheaters never prosper,जैसी करनी वैसी भरनी,9
cheats never prosper,जैसी करनी वैसी भरनी,9
"cheese, wine, and friends must be old to be good","पुराना सोना, पुराना दोस्त, पुरानी शराब काम आती है",6
children should be seen and not heard,बड़ों की बातों में बच्चे नहीं बोलते,10
christmas comes but once a year,ऐसा मौका बार‑बार नहीं आता,7
civility costs nothing and buys everything,मीठी वाणी सबका मन जीत लेती है,8
"claw me, claw thee",जैसा करोगे वैसा भरोगे,8
cleanliness is next to godliness,स्वच्छता ईश्वर के समान है,8
clogs to clogs in three generations,धन तीन पीढ़ी से ज़्यादा नहीं टिकता,5
close only counts in horseshoes,लगभग से काम नहीं चलता,6
close only counts in horseshoes and darts,लगभग से काम नहीं चलता,6
close only counts in horseshoes and hand grenades,लगभग से काम नहीं चलता,6
clothes don't make the man,"पोशाक से नहीं, काम से पहचान होती है",8
clothes make the man,जैसा पहनावा वैसी पहचान,8
clothes maketh the man,जैसा पहनावा वैसी पहचान,8
"cobbler, keep to your last",नाई का काम न हलवाई करे,7
common sense is neither common nor sensical,अक्ल बड़ी या भैंस,4
comparison is the thief of joy,तुलना से संतोष भाग जाता है,5
comparisons are odious,तुलना करना ठीक नहीं,4
cool heads must prevail,ठंडे दिमाग से काम लेना चाहिए,7
cool heads prevail,ठंडे दिमाग वाले ही जीतते हैं,6
cool heads will prevail,आख़िर में ठंडे दिमाग वाले ही जीतते हैं,6
cooler heads must prevail,ठंडे दिमाग से काम लेना चाहिए,7
cooler heads prevail,ठंडे दिमाग वाले ही जीतते हैं,6
cooler heads will prevail,आख़िर में ठंडे दिमाग वाले ही जीतते हैं,6
count your blessings,जो है उसी में खुश रहो,8
cowards may die many times before their death,"कायर बार‑बार मरता है, बहादुर एक बार",9
cream rises,असली हीरा चमक कर ही रहता है,7
crime does not pay,अपराध का अंजाम बुरा होता है,8
crime doesn't pay,अपराध का अंजाम बुरा होता है,8
cross my heart and hope to die stick a needle in my eye,कसम खाकर कहता हूँ,6
cross the stream where it is shallowest,जहाँ नाव चले वहीं पार उतरो,6
curiosity killed the cat,जिज्ञासा बुरी बलाय है,7
curses like chickens come home to roost,जैसा करोगे वैसा भरोगे,9
cut your coat according to your cloth,जितनी चादर हो उतने ही पैर फैलाओ,10
dance with the one that brought ya,जिस थाली में खाओ उसमें छेद मत करो,6
dance with the one that brought you,जिस थाली में खाओ उसमें छेद मत करो,6
dance with the one that brung ya,जिस थाली में खाओ उसमें छेद मत करो,6
dance with the one that brung you,जिस थाली में खाओ उसमें छेद मत करो,6
dance with the one what brought ya,जिस थाली में खाओ उसमें छेद मत करो,6
dance with the one what brought you,जिस थाली में खाओ उसमें छेद मत करो,6
dance with the one what brung ya,जिस थाली में खाओ उसमें छेद मत करो,6
dance with the one what brung you,जिस थाली में खाओ उसमें छेद मत करो,6
dance with the one who brought ya,जिस थाली में खाओ उसमें छेद मत करो,6
dance with the one who brought you,जिस थाली में खाओ उसमें छेद मत करो,6
dance with the one who brung ya,जिस थाली में खाओ उसमें छेद मत करो,6
dance with the one who brung you,जिस थाली में खाओ उसमें छेद मत करो,6
danger past and god forgotten,डूबते को भगवान याद आता है,7
danger past god forgotten,डूबते को भगवान याद आता है,7
danger past god is forgotten,डूबते को भगवान याद आता है,7
dead men can tell no tales,मरे हुए की ज़ुबान नहीं होती,6
dead men tell no tales,मरे हुए की ज़ुबान नहीं होती,6
death is the great leveller,मौत सबको बराबर कर देती है,7
desperate times call for desperate measures,नाच न जाने आँगन टेढ़ा,2
devil lies in the details,बारीकियों में पेंच छुपा होता है,5
different strokes for different folks,हर किसी की अपनी पसंद होती है,5
discretion is the better part of valor,जान है तो जहान है,9
discretion is the better part of valour,जान है तो जहान है,9
divide and conquer,फूट डालो और राज करो,10
do as you would be done by,जैसा अपने लिए चाहो वैसा ही दूसरों के लिए चाहो,6
do not bite the hand that feeds you,जिस थाली में खाओ उसमें छेद मत करो,10
do not burn your bridges behind you,पीछे का रास्ता बंद नहीं करना चाहिए,6
do not carry coals to newcastle,कोयले की खान में कोयला नहीं बेचते,8
do not cast your pearls before swine,भैंस के आगे बीन बजाना,10
do not change horses in midstream,आधे रास्ते में सवारी नहीं बदलनी चाहिए,6
do not count your chickens before they are hatched,अंडे सेने से पहले चूज़े नहीं गिना करते,9
do not cross the bridge till you come to it,मुसीबत आने से पहले घबराना नहीं चाहिए,6
do not cry over spilled milk,"जो होना था सो हो गया, अब पछताने से क्या फायदा",7
do not cut off your nose to spite your face,नाक काटकर अपना ही नुकसान मत करो,6
do not dish it if you can't take it,मार सह नहीं सकते तो मारो मत,5
do not judge a book by its cover,"दिखावे पर मत जाओ, आँखों देखी पर भरोसा करो",7
do not keep a dog and bark yourself,नौकर रखकर खुद काम नहीं करना चाहिए,5
do not let the bastards grind you down,दुनिया के डर से हिम्मत नहीं हारनी चाहिए,6
do not let the grass grow beneath (one's) feet,लोहे को गरम देख वार करना चाहिए,7
do not look a gift horse in the mouth,मुफ़्त की चीज़ में ऐब नहीं निकालते,10
do not make a mountain out of a mole hill,राई का पहाड़ मत बनाओ,10
do not meet troubles half-way,मुसीबत को बुलावा नहीं देना चाहिए,8
do not put all your eggs in one basket,सारी पूँजी एक ही जगह नहीं लगानी चाहिए,8
do not put off until tomorrow what you can do today,आज का काम कल पर मत टालो,10
do not put the cart before the horse,ऊँट के मुँह में जीरा,3
do not put too many irons in the fire,एक साथ बहुत से काम हाथ में नहीं लेने चाहिए,6
do not rock the boat,चलती गाड़ी को धक्का नहीं देते,5
do not shut/lock the stable door after the horse has bolted,जब चिड़िया चुग गई खेत तब पछताने से क्या फायदा,9
do not spend it all in one place,सारा धन एक ही जगह उड़ा मत दो,6
do not spoil the ship for a ha'porth of tar,सौ की चीज़ पर एक पैसे की कंजूसी मत करो,6
do not teach your grandmother to suck eggs,उस्ताद को क्या सिखाना,9
do not throw pearls to swine,भैंस के आगे बीन बजाना,10
do not throw the baby out with the bathwater,नहाते-नहाते बच्चा ही न बहा देना,5
do not try to walk before you can crawl,दौड़ने से पहले चलना सीखो,7
do not upset the apple-cart,बनती बात को बिगाड़ना नहीं चाहिए,7
do not wash your dirty linen in public,घर की बात बाहर नहीं फैलानी चाहिए,8
do unto others as you would have them do unto you,जैसा बोओगे वैसा काटोगे,7
"doctor, heal thyself","दूसरों को नसीहत, खुद मियाँ फ़ज़ीहत",8
don't buy green bananas,कल की किसने देखी है,8
don't change a winning team,चलता है तो चलने दो,7
don't count your chickens,"हाथी के दाँत दिखाने के और, खाने के और",1
don't count your chickens before the eggs have hatched,"हाथ आए तो लाख, न आए तो राख",8
don't count your chickens before they're hatched,"हाथ आए तो लाख, न आए तो राख",9
don't count your chickens before they've hatched,"हाथ आए तो लाख, न आए तो राख",9
don't count your chicks before they hatch,"हाथ आए तो लाख, न आए तो राख",9
don't count your chicks before they're hatched,"हाथ आए तो लाख, न आए तो राख",9
don't cry over spilled milk,अब पछताए क्या होत जब चिड़िया चुग गई खेत,10
don't dip your pen in company ink,"जहाँ रोज़ी रोटी खाओ, वहीं मुँह मत लगाओ",6
don't drive faster than your guardian angel can fly,जान है तो जहान है,9
don't fight the tape,धारा के विरुद्ध तैरोगे तो डूब जाओगे,5
don't fish off the company dock,"जहाँ से खाना खाओ, वहीं खुरपी मत चलाओ",6
don't get above your raising,औकात से ज़्यादा उड़ने की कोशिश मत कर,6
"don't get mad, get even",बदला खून को ठंडा करता है,3
don't get your honey where you make your money,दफ़्तर और दिल के रिश्ते अलग रखना भला,3
don't get your hopes up,ज़्यादा आस मत बाँध,6
"don't hate the player, hate the game",नाच न जाने आँगन टेढ़ा,4
don't judge a book by its cover,"दिखावे पर मत जा, आँखें खोल के देख",7
don't keep a dog and bark yourself,नौकर रखो तो काम भी उसी से लो,4
don't look a gift horse in the mouth,मुफ़्त की चीज़ में ऐब नहीं देखते,10
don't mess with success,जो चल रहा है उसे छेड़ो मत,7
don't put all your eggs in one basket,सारी पूँजी एक ही जगह मत लगाओ,9
don't sell the skin till you have caught the bear,शिकार से पहले खाल मत बेचो,6
don't shit in your own nest,अपने ही घर में आग मत लगाओ,8
don't shit where you eat,"जहाँ से रोटी खाओ, वहीं गंदगी मत फैलाओ",7
don't shoot the messenger,ख़बर लाने वाले पर ग़ुस्सा मत निकालो,7
don't sweat the small stuff,छोटी बातों का बतंगड़ मत बनाओ,8
don't take any wooden nickels,धोखे के सिक्के मत लो,3
don't teach your grandmother how to milk ducks,दादी को रोटियाँ बनाना मत सिखा,6
don't teach your grandmother to steal sheep,दादी को रोटियाँ बनाना मत सिखा,6
don't try to teach grandma how to suck eggs,दादी को रोटियाँ बनाना मत सिखा,7
"doubt is the beginning, not the end, of wisdom",सवाल ही समझ की पहली सीढ़ी है,6
drastic times call for drastic measures,जैसी बीमारी वैसी दवा,9
dripping water hollows a stone,बूँद बूँद से पत्थर भी घिस जाता है,7
drunk words are sober thoughts,नशे में इंसान के दिल की बात ज़ुबान पर आ जाती है,6
drunken words are sober thoughts,नशे में इंसान के दिल की बात ज़ुबान पर आ जाती है,6
e pluribus unum,एकता में बल है,9
each to his own,जैसी जिसकी रुचि वैसा उसका सुख,7
"early to bed and early to rise makes a man healthy, wealthy and wise",जल्दी सोना जल्दी उठना स्वास्थ्य के लिए अच्छा होता है,7
"early to bed, early to rise, makes a man healthy, wealthy and wise",जल्दी सोना जल्दी उठना स्वास्थ्य के लिए अच्छा होता है,7
easier said than done,कहना आसान करना मुश्किल,10
"east is east, and west is west",पूरब पूरब है और पश्चिम पश्चिम,5
"east, west, home is best",सुख सुविधा अपने घर में ही है,6
"easy come, easy go",आया राम गया राम,6
"eat to live, not live to eat","जीने के लिए खाओ, खाने के लिए मत जियो",8
"eat, drink and be merry",खाओ पियो मौज करो,10
"eat, drink and be merry for tomorrow we die","खाओ पियो मौज करो, कल किसने देखा है",9
"eat, drink and be merry, for tomorrow we die","खाओ पियो मौज करो, कल किसने देखा है",9
"eat, drink, and be merry",खाओ पियो मौज करो,10
"eat, drink, and be merry, for tomorrow we die","खाओ पियो मौज करो, कल किसने देखा है",9
eaten bread is soon forgotten,खाया पिया भूल गया,7
empty barrels make the most noise,खाली बर्तन ज़्यादा बजते हैं,10
empty cans make the most noise,खाली बर्तन ज़्यादा बजते हैं,10
empty vessels make the most noise,खाली बर्तन ज़्यादा बजते हैं,10
empty vessels make the most sound,खाली बर्तन ज़्यादा बजते हैं,10
enough is as good as a feast,जितनी ज़रूरत उतना ही काफ़ी है,6
est modus in rebus,हर चीज़ की एक हद होती है,7
even a blind pig can find an acorn,अंधी गिलहरी को भी कभी‑कभी दाना मिल जाता है,9
even a blind pig can find an acorn once in a while,अंधी गिलहरी को भी कभी‑कभी दाना मिल जाता है,9
even a blind squirrel can find a nut once in a while,अंधी गिलहरी को भी कभी‑कभी दाना मिल जाता है,10
even a blind squirrel finds an acorn every now and then,अंधी गिलहरी को भी कभी‑कभी दाना मिल जाता है,10
even a blind squirrel finds an acorn every once in a while,अंधी गिलहरी को भी कभी‑कभी दाना मिल जाता है,10
even a broken clock is right twice a day,रुकी हुई घड़ी भी दिन में दो बार सही समय दिखाती है,8
even a stopped clock is right twice a day,रुकी हुई घड़ी भी दिन में दो बार सही समय दिखाती है,8
even a worm will turn,"अति हर चीज़ की बुरी, सहनशील भी एक दिन फट पड़ता है",6
even from a foe a man may learn wisdom,दुश्मन से भी सीख लेनी चाहिए,7
even homer nods,सूरज से भी कभी‑कभी धब्बा रह जाता है,6
even jove nods,सूरज से भी कभी‑कभी धब्बा रह जाता है,6
every barrel has a rotten apple,हर चमकती चीज़ सोना नहीं होती,6
every cloud has a silver lining,हर अँधेरी रात के बाद सवेरा होता है,9
every dark cloud has a silver lining,हर अँधेरी रात के बाद सवेरा होता है,9
every day is a school day,सीखने की कोई उम्र नहीं होती,9
every dog has his day,हर कुत्ते का दिन आता है,8
every dog has its day,हर कुत्ते का दिन आता है,8
every dog must have his day,हर कुत्ते का दिन आता है,8
every dog must have its day,हर कुत्ते का दिन आता है,8
every jack has his jill,हर मटके का ढक्कन होता है,6
every law has a loophole,कानून का भी तोड़ निकल ही आता है,7
every law has its loophole,कानून का भी तोड़ निकल ही आता है,7
every little bit helps,बूँद बूँद से सागर भरता है,10
every little helps,बूँद बूँद से सागर भरता है,10
every man for himself,अपना हाथ जगन्नाथ,9
every man has a price,हर चीज़ की क़ीमत होती है,6
every man has his price,हर चीज़ की क़ीमत होती है,6
every man is the architect of his own fortune,जैसा करोगे वैसा भरोगे,8
every miller draws water to his own mill,हर कोई अपने मतलब का सोचता है,7
every picture tells a story,तस्वीरें भी बोलती हैं,5
every rose has a thorn,जहाँ फूल होते हैं वहाँ काँटे भी होते हैं,9
every rose has its thorn,जहाँ फूल होते हैं वहाँ काँटे भी होते हैं,9
every rule has an exception,हर नियम के अपवाद होते हैं,7
every shut eye isn't asleep,हर बंद आँख सोई नहीं होती,7
every silver lining has a cloud,जहाँ सुख है वहाँ दुख भी है,7
every stick has two ends,हर बात के दो पहलू होते हैं,9
every tide has its ebb,चढ़ते सूरज को सब सलाम करते हैं,5
everybody wants to go to heaven but nobody wants to die,स्वर्ग सबको चाहिए पर मरना किसी को नहीं,8
everyone has their price,हर चीज़ की क़ीमत होती है,6
