en,es,confidence
a house divided against itself cannot stand,"Casa dividida, pronto caída",6
a house is not a home,"Hogar, dulce hogar",5
a hungry man is an angry man,"Barriga vacía, corazón sin alegría",9
a journey of a thousand miles begins with a single step,Todo camino empieza con un primer paso,8
a leopard cannot change its spots,Genio y figura hasta la sepultura,10
a leopard does not change its spots,Genio y figura hasta la sepultura,10
a lie can run around the world before the truth can get its boots on,"La mentira corre, pero la verdad la alcanza",9
a lie has no legs,La mentira tiene las patas cortas,10
a little knowledge is a dangerous thing,Un poco de saber es cosa peligrosa,6
a little learning is a dangerous thing,Un poco de saber es cosa peligrosa,6
a man is known by the company he keeps,Dime con quién andas y te diré quién eres,10
a man's home is his castle,Cada uno en su casa es rey,9
a mill cannot grind with the water that is past,Agua pasada no mueve molino,10
a miss is as good as a mile,Por un pelo se pierde un reino,6
"a moment on the lips, a lifetime on the hips",Lo que se come en un minuto se queda toda la vida,5
a new broom sweeps clean,Escoba nueva barre bien,10
"a new broom sweeps clean, but an old broom knows all the corners","Escoba nueva barre bien, pero la vieja conoce los rincones",10
"a new broom sweeps clean, but an old broom knows the corners","Escoba nueva barre bien, pero la vieja conoce los rincones",10
"a new broom sweeps clean, but the old broom knows the corners","Escoba nueva barre bien, pero la vieja conoce los rincones",10
a new language is a new life,"Cuantas lenguas sabes, tantos hombres vales",8
a nod is as good as a wink,"A buen entendedor, pocas palabras bastan",10
a nod is as good as a wink to a blind horse,"A buen entendedor, pocas palabras bastan",9
a penny saved is a penny earned,"Quien guarda, halla",9
a penny saved is a penny gained,"Quien guarda, halla",9
actions have consequences,quien siembra vientos recoge tempestades,9
actions speak louder than words,obras son amores y no buenas razones,10
adversity makes strange bedfellows,a la fuerza ahorcan,6
age is just a number,la edad es lo de menos,8
"all animals are equal, but some animals are more equal than others","todos somos iguales, pero unos más iguales que otros",7
all cats are gray at night,de noche todos los gatos son pardos,10
all cats are gray in the dark,de noche todos los gatos son pardos,10
all cats are grey at night,de noche todos los gatos son pardos,10
all cats are grey by night,de noche todos los gatos son pardos,10
all cats are grey in the dark,de noche todos los gatos son pardos,10
all good things come to an end,no hay mal que cien años dure ni cuerpo que lo resista,5
all good things come to him who waits,el que la sigue la consigue,7
all good things must come to an end,"lo bueno, si breve, dos veces bueno",6
all hands on deck/to the pump,todos a una,8
all is fair in love and war,en el amor y en la guerra todo vale,10
all is fish that comes to the net,todo es bueno para el convento,7
all is for the best in the best of all possible worlds,no hay mal que por bien no venga,6
all is grist that comes to the mill,todo es bueno para el convento,7
all is well that ends well,bien está lo que bien acaba,10
all publicity is good publicity,"que hablen de mí, aunque sea mal",8
all roads lead to mecca,todos los caminos llevan a Roma,9
all roads lead to rome,todos los caminos llevan a Roma,10
all roads lead to sydney,todos los caminos llevan a Roma,8
all that glisters is not gold,no es oro todo lo que reluce,10
all that glitters,no es oro todo lo que reluce,7
all that glitters is not gold,no es oro todo lo que reluce,10
all that glitters/glistens is not gold,no es oro todo lo que reluce,10
all the world loves a lover,amor con amor se paga,5
all the world's a stage,el mundo es un teatro,7
all things come to those who wait,"a quien espera, todo le llega",7
all things must pass,no hay mal que cien años dure,7
all work and no play makes jack a dull boy,no solo de pan vive el hombre,6
all you need is love,el amor lo puede todo,8
all's fair in love and war,en el amor y en la guerra todo vale,10
all's fish that comes to the net,todo es bueno para el convento,7
all's well that ends well,bien está lo que bien acaba,10
almost doesn't count,del casi no se vive,6
almost only counts in horseshoes and hand grenades,Del casi no se vive,7
an apple a day keeps the doctor at bay,Más vale prevenir que curar,8
an apple a day keeps the doctor away,Más vale prevenir que curar,9
an army marches on its stomach,"Barriga llena, corazón contento",6
an englishman's home is his castle,Cada uno en su casa es rey,9
an englishman's home is his castle/a man's home is his castle,Cada uno en su casa es rey,9
an eye for an eye makes the whole world blind,"La venganza nunca es buena, mata el alma y la envenena",8
"an eye for an eye, a tooth for a tooth","Ojo por ojo, diente por diente",10
an honest man doesn't need to remember much,"El que nada debe, nada teme",7
an image is worth a thousand words,Una imagen vale más que mil palabras,10
an old dog for a hard road,Más sabe el diablo por viejo que por diablo,9
an ounce of prevention is better than a pound of cure,Más vale prevenir que curar,10
an ounce of prevention is better than an ounce of cure,Más vale prevenir que curar,10
an ounce of prevention is worth a pound of cure,Más vale prevenir que curar,10
"another day, another dollar","Un día más, un peso menos",4
any exposure is good exposure,"Que hablen bien o mal, pero que hablen",8
any port in a storm,"A falta de pan, buenas son tortas",8
any press is good press,"Que hablen bien o mal, pero que hablen",9
any publicity is good publicity,"Que hablen bien o mal, pero que hablen",10
anything worth doing is hard,"El que algo quiere, algo le cuesta",10
appearances are deceptive,Las apariencias engañan,10
april showers bring forth may flowers,Tras la tempestad viene la calma,7
april showers bring may flowers,No hay mal que por bien no venga,7
"art is long, life is short","La vida es corta, el arte es largo",8
"as a dog returns to his vomit, so a fool repeats his folly",El hombre es el único animal que tropieza dos veces con la misma piedra,10
"as a tree bends, so shall it grow","Árbol que crece torcido, jamás su tronco endereza",10
"as one door closes, another opens","Cuando una puerta se cierra, otra se abre",10
"as the mountain could not wait upon mahomet, mahomet would go to the mountain","Si la montaña no va a Mahoma, Mahoma va a la montaña",10
"as the twig is bent, so is the tree inclined","Árbol que crece torcido, jamás su tronco endereza",10
"as you have brewed, so you must drink","El que la hace, la paga",8
"as you make your bed, so you must lie in it","El que siembra vientos, recoge tempestades",9
"as you make your bed, so you must lie upon it","El que siembra vientos, recoge tempestades",9
as you sow so shall you reap,"Quien siembra vientos, recoge tempestades",10
"as you sow, so shall you reap","Quien siembra vientos, recoge tempestades",10
ask a silly question and you will get a silly answer,"Preguntas tontas, respuestas tontas",8
"ask a silly question, get a silly answer","Preguntas tontas, respuestas tontas",8
"ask a stupid question, get a stupid answer","A preguntas necias, respuestas necias",10
ask no questions and hear no lies,"Ojos que no ven, corazón que no siente",7
attack is the best form of defence,La mejor defensa es un buen ataque,10
attack is the best form of defense,La mejor defensa es un buen ataque,10
bad money drives out good,La mala moneda desplaza a la buena,10
bad news travels fast,Las malas noticias vuelan,9
bad things come in threes,Las desgracias nunca vienen solas,9
barking dogs never bite,Perro que ladra no muerde,10
barking dogs seldom bite,Perro que ladra no muerde,10
beauty is but skin-deep,La belleza está en el interior,8
beauty is in the eye of the beholder,Sobre gustos no hay nada escrito,9
beauty is only skin deep,La belleza está en el interior,8
beauty never boiled the pot,La belleza no da de comer,9
beauty won't boil the pot,La belleza no da de comer,9
beauty won't make the pot boil,La belleza no da de comer,9
"before setting out on a mission of vengeance, dig two graves","El que busca venganza, cava dos tumbas",8
beggars can't be choosers,A caballo regalado no se le mira el diente,9
beggars cannot be choosers,A caballo regalado no se le mira el diente,9
behind every great man is a great woman,Detrás de un gran hombre hay una gran mujer,10
behind every great man there stands a woman,Detrás de un gran hombre hay una gran mujer,10
"behind every great man, there is a great woman",Detrás de un gran hombre hay una gran mujer,10
behind every successful man there stands a woman,Detrás de un gran hombre hay una gran mujer,10
better an egg today than a hen tomorrow,Más vale pájaro en mano que ciento volando,10
better is the enemy of good,Lo mejor es enemigo de lo bueno,10
better late than never,Más vale tarde que nunca,10
better one word in time than two afterwards,"A tiempo, una palabra; después, cien no bastan",6
better safe than sorry,Más vale prevenir que curar,10
better the devil you know,Más vale malo conocido que bueno por conocer,10
better the devil you know than the devil you don't,Más vale malo conocido que bueno por conocer,10
better the devil you know than the devil you don't know,Más vale malo conocido que bueno por conocer,10
better the devil you know than the one you don't,Más vale malo conocido que bueno por conocer,10
better the devil you know than the one you don't know,Más vale malo conocido que bueno por conocer,10
better to have loved and lost than never to have loved at all,Más vale haber amado y perdido que no haber amado nunca,7
better to light a candle than to curse the darkness,Es mejor encender una vela que maldecir la oscuridad,8
better to light a single candle than to curse the darkness,Es mejor encender una vela que maldecir la oscuridad,8
better to light one candle than to curse the darkness,Es mejor encender una vela que maldecir la oscuridad,8
better to light one small candle than to curse the darkness,Es mejor encender una vela que maldecir la oscuridad,8
better to reign in hell than serve in heaven,Más vale ser cabeza de ratón que cola de león,9
better to remain silent and be thought a fool than to speak and remove all doubt,En boca cerrada no entran moscas,8
better wear out than rust out,Más vale quemarse que oxidarse,6
beware of greeks bearing gifts,Teme a los enemigos que traen regalos,5
big fish eat little fish,El pez grande se come al chico,10
big things come in small packages,El buen perfume viene en frasco pequeño,10
bird in the hand,Más vale pájaro en mano que ciento volando,10
birds of a feather,Dios los cría y ellos se juntan,10
birds of a feather flock together,Dios los cría y ellos se juntan,10
birds of the feather flock together,Dios los cría y ellos se juntan,10
bis dat qui cito dat,"Quien da pronto, da dos veces",10
blood is thicker than water,La sangre tira,9
born with a silver spoon in one's mouth,Nacer en cuna de oro,10
boys will be boys,Los chicos son chicos,6
brevity is the soul of wit,"Lo bueno, si breve, dos veces bueno",10
bros before hoes,Amigos antes que amores,7
bros before hos,Amigos antes que amores,7
business before pleasure,La obligación antes que la devoción,10
"buy cheap, buy twice",Lo barato sale caro,10
"by failing to prepare, you are preparing to fail","El que no prepara, repara",5
caesar's wife must be above suspicion,"La mujer del César no solo debe ser honrada, sino parecerlo",10
calm seas never made a good sailor,La calma no hace marineros expertos,5
"can't live with 'em, can't live without 'em",Ni contigo ni sin ti,9
can't live with them and can't live without them,Ni contigo ni sin ti,9
"can't live with them, can't live without them",Ni contigo ni sin ti,9
"cannot live with them, cannot live without them",Ni contigo ni sin ti,9
care killed a cat,La preocupación mata,4
care killed the cat,La preocupación mata,4
careless talk costs lives,En boca cerrada no entran moscas,8
carpe diem,"Al mal tiempo, buena cara",5
cast not a clout till may be out,Hasta el cuarenta de mayo no te quites el sayo,10
caveat lector,El que avisa no es traidor,6
charity begins at home,La caridad bien entendida empieza por casa,10
cheaters never prosper,Más pronto se coge al mentiroso que al cojo,7
cheats never prosper,Más pronto se coge al mentiroso que al cojo,7
"cheese, wine, and friends must be old to be good","El buen vino y el buen amigo, el más antiguo",8
children should be seen and not heard,Los niños hablan cuando las gallinas mean,8
christmas comes but once a year,"Navidad, Navidad, una vez al año nada más",7
civility costs nothing and buys everything,Lo cortés no quita lo valiente,6
"claw me, claw thee","Hoy por ti, mañana por mí",7
cleanliness is next to godliness,La limpieza es salud,6
clogs to clogs in three generations,"Quien no lo hereda, lo roba",3
clothes don't make the man,El hábito no hace al monje,10
clothes make the man,Por la pinta se conoce al caballero,7
clothes maketh the man,Por la pinta se conoce al caballero,7
"cobbler, keep to your last","Zapatero, a tus zapatos",10
coffee and love taste best when hot,"Amor de lejos, amor de pendejos",2
"cold hands, warm heart","Manos frías, corazón caliente",10
comparison is the thief of joy,Las comparaciones son odiosas,9
comparisons are odious,Las comparaciones son odiosas,10
cool heads must prevail,"A mal tiempo, buena cara",5
cool heads prevail,"A mal tiempo, buena cara",5
cool heads will prevail,"A mal tiempo, buena cara",5
cooler heads must prevail,"A mal tiempo, buena cara",5
cooler heads prevail,"A mal tiempo, buena cara",5
cooler heads will prevail,"A mal tiempo, buena cara",5
count your blessings,No hay mal que por bien no venga,4
cowards may die many times before their death,El miedo es libre,4
cream rises,La crema siempre sube a la superficie,6
crime does not pay,El crimen no paga,8
crime doesn't pay,El crimen no paga,8
cross my heart and hope to die stick a needle in my eye,Te lo juro por mi madre,7
cross the stream where it is shallowest,El camino más corto es el mejor,5
curiosity killed the cat,La curiosidad mató al gato,10
curses like chickens come home to roost,El que siembra vientos recoge tempestades,9
cut your coat according to your cloth,Hasta donde alcance la cobija,8
dance with the one that brought ya,"Con la que se fue a bailar, se baila",7
dance with the one that brought you,"Con la que se fue a bailar, se baila",7
dance with the one that brung ya,"Con la que se fue a bailar, se baila",7
dance with the one that brung you,"Con la que se fue a bailar, se baila",7
dance with the one what brought ya,"Con la que se fue a bailar, se baila",7
dance with the one what brought you,"Con la que se fue a bailar, se baila",7
dance with the one what brung ya,"Con la que se fue a bailar, se baila",7
dance with the one what brung you,"Con la que se fue a bailar, se baila",7
dance with the one who brought ya,"Con la que se fue a bailar, se baila",7
dance with the one who brought you,"Con la que se fue a bailar, se baila",7
dance with the one who brung ya,"Con la que se fue a bailar, se baila",7
dance with the one who brung you,"Con la que se fue a bailar, se baila",7
danger past and god forgotten,"Santo que no es visto, no es adorado",6
danger past god forgotten,"Santo que no es visto, no es adorado",6
danger past god is forgotten,"Santo que no es visto, no es adorado",6
dead men can tell no tales,Muerto el perro se acabó la rabia,6
dead men tell no tales,Muerto el perro se acabó la rabia,6
death is the great leveller,La muerte nos iguala a todos,8
desperate times call for desperate measures,"A grandes males, grandes remedios",10
desperate times require desperate measures,"A grandes males, grandes remedios",10
devil lies in the details,El diablo está en los detalles,10
devil take the hindmost,Sálvese quien pueda,9
different clowns same circus,Mismo perro con distinto collar,9
different strokes for different folks,Sobre gustos no hay nada escrito,9
discretion is the better part of valor,Más vale prudencia que valentía,7
discretion is the better part of valour,Más vale prudencia que valentía,7
divide and conquer,Divide y vencerás,10
do as i say and not as i do,"Haz lo que yo digo, no lo que yo hago",10
do as i say not as i do,"Haz lo que yo digo, no lo que yo hago",10
do as you would be done by,No hagas a otros lo que no quieras para ti,10
do not bite the hand that feeds you,No muerdas la mano que te da de comer,10
do not burn your bridges behind you,No quemes las naves,9
do not carry coals to newcastle,No vendas hielo al esquimal,6
do not cast your pearls before swine,No eches perlas a los cerdos,10
do not change horses in midstream,No cambies de caballo a mitad del río,7
do not count your chickens before they are hatched,No vendas la piel del oso antes de cazarlo,10
do not cross the bridge till you come to it,No cruces el puente antes de llegar a él,7
do not cry over spilled milk,"A lo hecho, pecho",10
do not cut off your nose to spite your face,No te escupas al cielo que te puede caer encima,6
do not dish it if you can't take it,"Si no aguantas la broma, no la hagas",6
do not judge a book by its cover,Las apariencias engañan,10
do not keep a dog and bark yourself,"El que tiene criados, que los use",5
do not let the bastards grind you down,"Al mal tiempo, buena cara",6
do not let the grass grow beneath (one's) feet,No dejes para mañana lo que puedas hacer hoy,7
do not look a gift horse in the mouth,A caballo regalado no se le mira el diente,10
do not make a mountain out of a mole hill,No hagas una montaña de un grano de arena,9
do not meet troubles half-way,No sufras por adelantado,7
do not put all your eggs in one basket,No pongas todos los huevos en la misma canasta,9
do not put new wine into old bottles,Vino nuevo en odres nuevos,8
do not put off until tomorrow what you can do today,No dejes para mañana lo que puedas hacer hoy,10
do not put the cart before the horse,No empieces la casa por el tejado,10
do not put too many irons in the fire,"Quien mucho abarca, poco aprieta",10
do not rock the boat,No menees el avispero,7
do not shut/lock the stable door after the horse has bolted,"A buenas horas, mangas verdes",9
do not sit in rome and strive with the pope,"Donde fueres, haz lo que vieres",8
do not spend it all in one place,No te lo gastes todo de golpe,6
do not spoil the ship for a ha'porth of tar,Lo barato sale caro,7
do not teach your grandmother to suck eggs,No le enseñes al padre nuestro al cura,8
do not throw pearls to swine,No eches perlas a los cerdos,10
do not throw the baby out with the bathwater,No tires al niño con el agua sucia,6
do not try to walk before you can crawl,No quieras correr antes de saber andar,9
do not upset the apple-cart,No armes un lío donde no lo hay,5
do not wash your dirty linen in public,La ropa sucia se lava en casa,10
do unto others as you would have them do unto you,Trata a los demás como quieres que te traten,9
"do what i say, not what i do","Haz lo que yo diga, no lo que yo haga",8
"doctor, heal thyself","Médico, cúrate a ti mismo",8
doctors make the worst patients,"En casa de herrero, cuchillo de palo",7
"dogs have owners, cats have staff","El perro tiene dueño, el gato tiene sirvientes",5
don't change a winning team,"Equipo que gana, repite",9
don't count your chickens,No vendas la piel del oso antes de cazarlo,7
don't count your chickens before the eggs have hatched,No vendas la piel del oso antes de cazarlo,10
don't count your chickens before they're hatched,No vendas la piel del oso antes de cazarlo,10
don't count your chickens before they've hatched,No vendas la piel del oso antes de cazarlo,10
don't count your chicks,No vendas la piel del oso antes de cazarlo,7
don't count your chicks before they hatch,No vendas la piel del oso antes de cazarlo,10
don't count your chicks before they're hatched,No vendas la piel del oso antes de cazarlo,10
don't cry over spilled milk,"A lo hecho, pecho",10
don't dip your pen in company ink,"Donde tengas la olla, no metas la polla",10
don't drive faster than your guardian angel can fly,Más vale llegar tarde que no llegar,7
don't fish off the company dock,"Donde tengas la olla, no metas la polla",9
don't get above your raising,No se te suban los humos a la cabeza,7
"don't get mad, get even",La venganza es un plato que se sirve frío,6
don't get your honey where you make your money,"Donde tengas la olla, no metas la polla",10
don't get your hopes up,No te hagas ilusiones,10
don't get your meat where you get your bread,"Donde tengas la olla, no metas la polla",10
"don't hate the player, hate the game",No mates al mensajero,4
don't judge a book by its cover,Las apariencias engañan,10
don't keep a dog and bark yourself,"El que tiene criados, que los use",5
don't look a gift horse in the mouth,A caballo regalado no le mires el diente,10
don't mess with success,"Si algo funciona, no lo cambies",8
don't put all your eggs in one basket,No pongas todos los huevos en la misma cesta,10
don't sell the skin till you have caught the bear,No vendas la piel del oso antes de cazarlo,10
don't shit in your own nest,No escupas para arriba que te puede caer,7
don't shit where you eat,No escupas en el plato donde comes,9
don't shoot the messenger,No mates al mensajero,10
don't sweat the small stuff,No te ahogues en un vaso de agua,10
don't take any wooden nickels,Que no te den gato por liebre,9
don't teach your grandmother how to milk ducks,No le enseñes al padre nuestro al cura,7
don't teach your grandmother to steal sheep,No le enseñes al padre nuestro al cura,7
don't try to teach grandma how to suck eggs,No le enseñes al padre nuestro al cura,8
"doubt is the beginning, not the end, of wisdom",El sabio duda y el necio todo lo asegura,7
drastic times call for drastic measures,"A grandes males, grandes remedios",10
dripping water hollows a stone,Gota a gota se llena la copa,7
"drop acid, not bombs",Haz el amor y no la guerra,8
drunk words are sober thoughts,Los niños y los borrachos siempre dicen la verdad,9
drunken words are sober thoughts,Los niños y los borrachos siempre dicen la verdad,9
e pluribus unum,La unión hace la fuerza,10
each to his own,Sobre gustos no hay nada escrito,9
"early marriage, earlier pregnant","Quien juega con fuego, se quema",4
"early to bed and early to rise makes a man healthy, wealthy and wise","A quien madruga, Dios le ayuda",10
"early to bed, early to rise, makes a man healthy, wealthy and wise","A quien madruga, Dios le ayuda",10
easier said than done,Del dicho al hecho hay un gran trecho,10
"east is east, and west is west","Cada tierra con su uso, cada pueblo con su costumbre",7
"east, west, home is best","Como en casa, en ningún sitio",10
"easy come, easy go","Lo que fácil viene, fácil se va",10
"eat breakfast like a king, lunch like a prince and dinner like a pauper","Desayuna como un rey, come como un príncipe y cena como un mendigo",9
"eat to live, not live to eat","Se come para vivir, no se vive para comer",8
"eat, drink and be merry","A comer, beber y gozar, que el mundo se va a acabar",8
"eat, drink and be merry for tomorrow we die","A comer, beber y gozar, que mañana podemos morir",7
"eat, drink and be merry, for tomorrow we die","A comer, beber y gozar, que mañana podemos morir",7
"eat, drink, and be merry","A comer, beber y gozar, que el mundo se va a acabar",8
"eat, drink, and be merry, for tomorrow we die","A comer, beber y gozar, que mañana podemos morir",7
eaten bread is soon forgotten,"Pan comido, pronto olvidado",8
empty barrels make the most noise,Perro que ladra no muerde,6
empty cans make the most noise,Perro que ladra no muerde,6
empty vessels make the most noise,Perro que ladra no muerde,6
empty vessels make the most sound,Perro que ladra no muerde,6
enough is as good as a feast,Lo poco agrada y lo mucho enfada,7
est modus in rebus,En el término medio está la virtud,9
even a blind pig can find an acorn,Hasta el más tonto hace relojes,6
even a blind pig can find an acorn once in a while,Hasta el más tonto hace relojes,6
even a blind squirrel can find a nut once in a while,Hasta el más tonto hace relojes,6
even a blind squirrel finds an acorn every now and then,Hasta el más tonto hace relojes,6
even a blind squirrel finds an acorn every once in a while,Hasta el más tonto hace relojes,6
even a broken clock is right twice a day,Hasta un reloj parado acierta dos veces al día,9
even a stopped clock is right twice a day,Hasta un reloj parado acierta dos veces al día,9
even a worm will turn,No hay peor astilla que la de la misma madera,3
even from a foe a man may learn wisdom,De todos se aprende,7
even homer nods,Hasta el mejor escribano echa un borrón,10
even jove nods,Hasta el mejor escribano echa un borrón,9
every accusation is a confession,El ladrón cree que todos son de su condición,10
every barrel has a rotten apple,en todas partes cuecen habas,7
every cloud has a silver lining,no hay mal que por bien no venga,10
every dark cloud has a silver lining,no hay mal que por bien no venga,10
every day is a school day,nunca te acostarás sin saber una cosa más,10
every dog has his day,a todo cerdo le llega su San Martín,8
every dog has its day,a todo cerdo le llega su San Martín,8
every dog must have his day,a todo cerdo le llega su San Martín,8
every dog must have its day,a todo cerdo le llega su San Martín,8
every jack has his jill,siempre hay un roto para un descosido,10
every law has a loophole,"hecha la ley, hecha la trampa",10
every law has its loophole,"hecha la ley, hecha la trampa",10
every little bit helps,granito a granito se hace la montaña,8
every little helps,todo suma,9
every man for himself,sálvese quien pueda,10
every man has a price,todo hombre tiene su precio,6
every man has his price,todo hombre tiene su precio,6
every man is the architect of his own fortune,cada uno es artífice de su propio destino,9
every miller draws water to his own mill,cada uno arrima el ascua a su sardina,10
every picture tells a story,una imagen vale más que mil palabras,10
every rose has a thorn,no hay rosa sin espinas,10
every rose has its thorn,no hay rosa sin espinas,10
every rule has an exception,toda regla tiene su excepción,9
every shut eye isn't asleep,no todo el que cierra los ojos está dormido,6
every stick has two ends,toda moneda tiene dos caras,8
every tide has its ebb,no hay mal que cien años dure,6
everybody wants to go to heaven but nobody wants to die,"todos quieren ir al cielo, pero nadie se quiere morir",9
everyone has their price,todo hombre tiene su precio,6
everything comes to those who wait,el que la sigue la consigue,8
everything happens for a reason,no hay mal que por bien no venga,7
everything is fair in love and war,en el amor y en la guerra todo vale,9
everything old is new again,todo vuelve,8
evil be to him who evil thinks,piensa el ladrón que todos son de su condición,7
experience is the best teacher,la experiencia es la madre de la ciencia,10
fact is stranger than fiction,la realidad supera a la ficción,10
facts speak louder than words,las obras son amores y no buenas razones,7
failure is the best teacher,del error también se aprende,8
failure to prepare is preparing to fail,Hombre prevenido vale por dos,8
faint heart never won fair lady,El que no arriesga no gana,9
fair exchange is no robbery,Trato hecho no es engaño,6
faith can move mountains,La fe mueve montañas,10
faith will move mountains,La fe mueve montañas,10
"fall seven times, stand up eight",El que persevera alcanza,8
false friends are worse than open enemies,Más vale un enemigo declarado que un amigo falso,9
familiarity breeds contempt,La confianza da asco,10
fas est et ab hoste doceri,Hasta del enemigo se aprende,9
fight fire with fire,"Al mal tiempo, buena cara",2
finders keepers,Quien lo encuentra se lo queda,6
"finders, keepers",Quien lo encuentra se lo queda,6
"finders, keepers; losers, weepers","El que pierde, llora",4
fine feathers make fine birds,El hábito hace al monje,9
fine words butter no parsnips,Del dicho al hecho hay mucho trecho,7
first catch your hare,No vendas la piel del oso antes de cazarlo,10
"first come, first served","El que primero llega, primero se sirve",8
first impressions are the most lasting,La primera impresión es la que cuenta,10
first things first,Primero lo primero,10
fish always rots from the head downwards,"Cuando el río suena, agua lleva",3
fish and company stink after three days,El muerto y el arrimado a los tres días apestan,10
fish and guests smell after three days,El muerto y el arrimado a los tres días apestan,10
flattery will get you nowhere,La adulación no lleva a ninguna parte,5
"fool me once, shame on you; fool me twice, shame on me",El hombre es el único animal que tropieza dos veces con la misma piedra,9
fools rush in,La ignorancia es atrevida,8
fools rush in where angels fear to tread,La ignorancia es atrevida,9
for want of a nail the shoe was lost; for want of a shoe the horse was lost; and for want of a horse the man was lost,Por un clavo se pierde una herradura y por una herradura un caballo,7
forbidden fruit is the sweetest,Lo prohibido es lo más deseado,9
forewarned is forearmed,Hombre prevenido vale por dos,10
"forewarned, forearmed",Hombre prevenido vale por dos,10
fortune favors the bold,La fortuna favorece a los audaces,10
fortune favors the brave,La fortuna favorece a los valientes,10
fortune favors the daring,"El que no arriesga, no gana",10
fortune favours the bold,"El que no arriesga, no gana",10
fortune favours the bold/brave,"El que no arriesga, no gana",10
fortune favours the brave,"El que no arriesga, no gana",10
fortune favours the daring,"El que no arriesga, no gana",10
free is for me,A caballo regalado no se le mira el diente,7
freedom ain't free,La libertad tiene un precio,9
freedom is not free,La libertad tiene un precio,9
freedom isn't free,La libertad tiene un precio,9
freedom's not free,La libertad tiene un precio,9
from the sublime to the ridiculous,Del cielo al infierno hay un solo paso,6
"garbage in, garbage out","De donde no hay, no se puede sacar",6
"genius is one percent inspiration, ninety-nine percent perspiration",El genio es un uno por ciento de inspiración y un noventa y nueve por ciento de transpiración,8
give a dog a bad name and hang him,Cría fama y échate a dormir,7
give a man a fish and you feed him for a day. teach a man to fish and you feed him for a lifetime,"No le des el pescado, enséñale a pescar",9
give a man a fish and you feed him for a day; teach a man to fish and you feed him for a lifetime,"No le des el pescado, enséñale a pescar",9
give a man rope enough and he will hang himself,Dale hilo a la cometa,6
give credit where credit is due,Al César lo que es del César,10
give him an inch and he will take a mile,Le das la mano y te toma el brazo,10
give someone an inch and someone will take a mile,Le das la mano y te toma el brazo,10
give someone enough rope and they'll hang themself,Dale hilo a la cometa,6
give the devil his/her due,Al César lo que es del César,8
give them an inch and they'll take a mile,Le das la mano y te toman el brazo,10
give them an inch and they'll take an ell,Le das la mano y te toman el brazo,10
go hard or go home,"El que algo quiere, algo le cuesta",6
god doesn't give with both hands,Dios aprieta pero no ahoga,4
god helps them that help themselves,A Dios rogando y con el mazo dando,10
god helps them who help themselves,A Dios rogando y con el mazo dando,10
god helps those who help themselves,A Dios rogando y con el mazo dando,10
god is in the detail,Los detalles marcan la diferencia,6
god works in mysterious ways,Dios escribe derecho con renglones torcidos,10
