en,ar,confidence
behind every great man is a great woman,وراء كل رجل عظيم امرأة عظيمة,10
behind every great man there stands a woman,وراء كل رجل عظيم امرأة عظيمة,10
"behind every great man, there is a great woman",وراء كل رجل عظيم امرأة عظيمة,10
behind every successful man there stands a woman,وراء كل رجل عظيم امرأة عظيمة,10
better an egg today than a hen tomorrow,عصفور في اليد خير من عشرة على الشجرة,10
better is the enemy of good,الكمال عدو الجيد,6
better late than never,أن تصل متأخراً خير من ألا تصل أبداً,10
better one word in time than two afterwards,كلمة في وقتها خير من ألف بعد فوات الأوان,6
better safe than sorry,درهم وقاية خير من قنطار علاج,10
careless talk costs lives,لسانك حصانك إن صنته صانك وإن خنته خانك,7
carpe diem,اغتنم الفرصة قبل فواتها,6
cast not a clout till may be out,لا تأمن للجو ولو كان صافي,4
charity begins at home,الأقربون أولى بالمعروف,10
cheaters never prosper,من غشنا فليس منا,8
cheats never prosper,من غشنا فليس منا,8
"cheese, wine, and friends must be old to be good",الصديق وقت الضيق,5
children should be seen and not heard,الصغير يسمع الكلمة,4
christmas comes but once a year,العيد فرحة وما يتكرر,3
civility costs nothing and buys everything,الكلمة الطيبة صدقة,9
"claw me, claw thee",كما تدين تدان,8
cleanliness is next to godliness,النظافة من الإيمان,10
clogs to clogs in three generations,ما جمع من حرام يذهب في حرام,3
close only counts in horseshoes,ما ينفع الندم بعد فوات الأوان,4
close only counts in horseshoes and darts,ما ينفع الندم بعد فوات الأوان,4
close only counts in horseshoes and hand grenades,ما ينفع الندم بعد فوات الأوان,4
clothes don't make the man,ليس كل ما يلمع ذهبًا,7
clothes make the man,الناس بالثياب,8
clothes maketh the man,الناس بالثياب,8
"cobbler, keep to your last",رحم الله امرأ عرف قدر نفسه,7
coffee and love taste best when hot,الفرصة إذا فاتت ما تعود,2
"cold hands, warm heart",الجمال جمال الروح,3
comparison is the thief of joy,القناعة كنز لا يفنى,7
comparisons are odious,القناعة كنز لا يفنى,6
cool heads must prevail,في التأني السلامة,8
cool heads prevail,في التأني السلامة,8
cool heads will prevail,في التأني السلامة,8
cooler heads must prevail,في التأني السلامة,8
cooler heads prevail,في التأني السلامة,8
cooler heads will prevail,في التأني السلامة,8
count your blessings,انظر لمن هو دونك تحمد الله على ما أنت فيه,7
cowards may die many times before their death,الجبان يموت ألف مرة والشجاع يموت مرة,10
cream rises,الذهب لا يصدأ,6
crime does not pay,الجزاء من جنس العمل,7
crime doesn't pay,الجزاء من جنس العمل,7
cross my heart and hope to die stick a needle in my eye,أقسم بالله العظيم,6
cross the stream where it is shallowest,اختر أهون الشرين,7
curiosity killed the cat,من تدخل فيما لا يعنيه سمع ما لا يرضيه,9
curses like chickens come home to roost,كما تدين تدان,10
cut your coat according to your cloth,على قد لحافك مد رجليك,10
dance with the one that brought ya,اللي ربّاك ما يغلبك,4
dance with the one that brought you,اللي ربّاك ما يغلبك,4
dance with the one that brung ya,اللي ربّاك ما يغلبك,4
dance with the one that brung you,اللي ربّاك ما يغلبك,4
dance with the one what brought ya,اللي ربّاك ما يغلبك,4
dance with the one what brought you,اللي ربّاك ما يغلبك,4
dance with the one what brung ya,اللي ربّاك ما يغلبك,4
dance with the one what brung you,اللي ربّاك ما يغلبك,4
dance with the one who brought ya,اللي ربّاك ما يغلبك,4
dance with the one who brought you,اللي ربّاك ما يغلبك,4
dance with the one who brung ya,اللي ربّاك ما يغلبك,4
dance with the one who brung you,اللي ربّاك ما يغلبك,4
danger past and god forgotten,إذا ذهب الخوف نُسي المعروف,6
danger past god forgotten,إذا ذهب الخوف نُسي المعروف,6
danger past god is forgotten,إذا ذهب الخوف نُسي المعروف,6
dead men can tell no tales,الميت لا يتكلم,7
dead men tell no tales,الميت لا يتكلم,7
death is the great leveller,الموت كأسٌ والناسُ شارِبُه,9
desperate times call for desperate measures,آخر الدواء الكي,10
desperate times require desperate measures,آخر الدواء الكي,10
devil lies in the details,الشيطان في التفاصيل,8
devil take the hindmost,أنا ومن بعدي الطوفان,8
different clowns same circus,نفس الطاس ونفس الملاس,7
different strokes for different folks,لولا اختلاف الأذواق لبارت السلع,9
discretion is the better part of valor,السلامة لا يعدلها شيء,7
discretion is the better part of valour,السلامة لا يعدلها شيء,7
divide and conquer,فرّق تسد,10
do as i say and not as i do,اسمع كلامي ولا تنظر لأفعالي,6
do as i say not as i do,اسمع كلامي ولا تنظر لأفعالي,6
do as you would be done by,عامل الناس كما تحب أن يعاملوك,10
do not bite the hand that feeds you,لا تعض اليد التي تطعمك,9
do not burn your bridges behind you,لا تقطع شعرة معاوية,8
do not carry coals to newcastle,لا تبع الماء في حارة السقايين,10
do not cast your pearls before swine,لا تعطِ الحكمة لغير أهلها,8
do not change horses in midstream,لا تبدل حصانك وأنت تعبر النهر,6
do not count your chickens before they are hatched,لا تقل فول حتى يصير بالمكيول,10
do not cross the bridge till you come to it,لكل حادث حديث,8
do not cry over spilled milk,لا تبكِ على اللبن المسكوب,9
do not cut off your nose to spite your face,لا ترمِ نفسك في النار لتُحرق غيرك,6
do not dish it if you can't take it,كما تدين تدان,6
do not judge a book by its cover,ليس كل ما يلمع ذهبًا,9
do not keep a dog and bark yourself,أعطِ الخبز لخبازه ولو أكل نصفه,7
do not let the bastards grind you down,لا تهن ولا تحزن وأنت الأعلى,5
do not let the grass grow beneath (one's) feet,اضرب الحديد وهو حامٍ,7
do not look a gift horse in the mouth,الهدايا لا تُنقَد,7
do not make a mountain out of a mole hill,لا تكبّر الموضوع من لا شيء,6
do not meet troubles half-way,دعِ الهمّ حتى يأتيك,5
do not put all your eggs in one basket,لا تضع كل البيض في سلة واحدة,9
do not put new wine into old bottles,لكل زمان دولة ورجال,5
do not put off until tomorrow what you can do today,لا تؤجل عمل اليوم إلى الغد,10
do not put the cart before the horse,لا تقدّم العربة على الحصان,8
do not put too many irons in the fire,من طلب الكل خسر الكل,6
do not rock the boat,اترك الماء الراكد في حاله,6
do not shut/lock the stable door after the horse has bolted,بعد خراب مالطا,9
do not spend it all in one place,اصرف ما في الجيب يأتيك ما في الغيب,3
do not spoil the ship for a ha'porth of tar,لا تبخل فيفسد عملك,4
do not teach your grandmother to suck eggs,لا تعلّم الحجامة في رؤوس اليتامى,6
do not throw pearls to swine,لا تعطِ الحكمة لغير أهلها,9
do not throw the baby out with the bathwater,لا تهدم البيت لتقتل فأرًا,6
do not try to walk before you can crawl,من قفز فوق المراحل تعثر,5
do not upset the apple-cart,لا تعكّر الماء الصافي,6
do not wash your dirty linen in public,استر على ما واجهك,6
do unto others as you would have them do unto you,أحبَّ لأخيك ما تحب لنفسك,10
"doctor, heal thyself",يا طبيب طبّب نفسك,8
don't buy green bananas,اعمل حساب بكرة,4
don't change a winning team,اللي يكسب ما يتغيرش,8
don't count your chickens,ما تقول فول حتى يصير بالمكيول,9
don't count your chickens before the eggs have hatched,ما تقول فول حتى يصير بالمكيول,10
don't count your chickens before they're hatched,ما تقول فول حتى يصير بالمكيول,10
don't count your chickens before they've hatched,ما تقول فول حتى يصير بالمكيول,10
don't count your chicks,ما تقول فول حتى يصير بالمكيول,8
don't count your chicks before they hatch,ما تقول فول حتى يصير بالمكيول,10
don't count your chicks before they're hatched,ما تقول فول حتى يصير بالمكيول,10
don't cry over spilled milk,اللي فات مات,9
don't drive faster than your guardian angel can fly,السرعة تودي في داهية,6
don't get above your raising,خليك على قد لحافك,7
"don't get mad, get even",العين بالعين والسن بالسن,6
don't get your hopes up,لا تعلّي سقف آمالك,7
"don't hate the player, hate the game",ما تلومش السيف لوم اللي يمسكه,6
don't judge a book by its cover,المظاهر خداعة,10
don't look a gift horse in the mouth,الهدية ما تنظرش في ثمنها,7
don't mess with success,اللي يكسب ما يتغيرش,9
don't put all your eggs in one basket,لا تحط كل البيض في سلة واحدة,9
don't sell the skin till you have caught the bear,ما تقول فول حتى يصير بالمكيول,9
don't shit in your own nest,لا تخرب بيتك بيدك,7
don't shit where you eat,لا تخرب بيتك بيدك,7
don't shoot the messenger,الرسول مالوش ذنب,8
don't sweat the small stuff,لا تكبّر الصغير,6
don't take any wooden nickels,افتح عينك تاكل ملبن,6
don't teach your grandmother how to milk ducks,ما تعلّمش أبوك البخة,8
don't teach your grandmother to steal sheep,ما تعلّمش أبوك البخة,8
don't try to teach grandma how to suck eggs,ما تعلّمش أبوك البخة,9
"doubt is the beginning, not the end, of wisdom",بداية الحكمة معرفة الجهل,6
drastic times call for drastic measures,آخر الدواء الكي,10
dripping water hollows a stone,الحتة تنقب في الصخر,7
drunk words are sober thoughts,يُقال إنَّ على لسان السكران ما في قلب الصاحي,7
drunken words are sober thoughts,يُقال إنَّ على لسان السكران ما في قلب الصاحي,7
e pluribus unum,الاتحاد قوة,9
each to his own,لِكُلٍّ مِزاجُه,7
"early to bed and early to rise makes a man healthy, wealthy and wise",البكور نصف الرزق,8
"early to bed, early to rise, makes a man healthy, wealthy and wise",البكور نصف الرزق,8
easier said than done,القول أسهل من الفعل,9
"east is east, and west is west",أهل مكة أدرى بشعابها,4
"east, west, home is best",مَا في الدار كالأهل والجار,6
"easy come, easy go",ما جاء بالساهل يمشي بالساهل,8
"eat to live, not live to eat",نأكل لنعيش لا نعيش لنأكل,9
"eat, drink and be merry",كُل واشرب وانبسط,6
"eat, drink, and be merry",كُل واشرب وانبسط,6
eaten bread is soon forgotten,آكل النعمة ناكرها,7
empty barrels make the most noise,الطبل الأجوف أكثر ضجيجًا,9
empty cans make the most noise,الطبل الأجوف أكثر ضجيجًا,9
empty vessels make the most noise,الطبل الأجوف أكثر ضجيجًا,9
empty vessels make the most sound,الطبل الأجوف أكثر ضجيجًا,9
enough is as good as a feast,القناعة كنز لا يفنى,9
est modus in rebus,خير الأمور أوسطها,10
even a blind pig can find an acorn,قد تُصيب أحيانًا رمية من غير رامٍ,8
even a blind pig can find an acorn once in a while,قد تُصيب أحيانًا رمية من غير رامٍ,8
even a blind squirrel can find a nut once in a while,قد تُصيب أحيانًا رمية من غير رامٍ,8
even a blind squirrel finds an acorn every now and then,قد تُصيب أحيانًا رمية من غير رامٍ,8
even a blind squirrel finds an acorn every once in a while,قد تُصيب أحيانًا رمية من غير رامٍ,8
even a broken clock is right twice a day,حتى الساعة المعطلة تصيب الوقت مرتين في اليوم,6
even a stopped clock is right twice a day,حتى الساعة المعطلة تصيب الوقت مرتين في اليوم,6
even a worm will turn,اتق شر الحليم إذا غضب,7
even from a foe a man may learn wisdom,خذ الحكمة ولو من أفواه المجانين,8
even homer nods,لكل جواد كبوة,10
even jove nods,لكل جواد كبوة,9
every barrel has a rotten apple,ما من دابة إلا وفيها عيب,6
every cloud has a silver lining,رب ضارة نافعة,10
every dark cloud has a silver lining,رب ضارة نافعة,10
every day is a school day,اطلب العلم من المهد إلى اللحد,8
every dog has his day,تدور الدوائر,7
every dog has its day,تدور الدوائر,7
every dog must have his day,تدور الدوائر,7
every dog must have its day,تدور الدوائر,7
every jack has his jill,كل فولة ولها كيال,6
every law has a loophole,لكل قاعدة ثغرة,6
every law has its loophole,لكل قاعدة ثغرة,6
every little bit helps,القرش على القرش يصير مال,9
every little helps,القرش على القرش يصير مال,9
every man for himself,نفسي نفسي,8
every man has a price,لكل إنسان مفتاح,6
every man has his price,لكل إنسان مفتاح,6
every man is the architect of his own fortune,على قدر أهل العزم تأتي العزائم,7
every miller draws water to his own mill,كلٌ يقول يا نفسي,8
every picture tells a story,الصورة أبلغ من الكلام,7
every rose has a thorn,ما في وردة بلا شوك,9
every rose has its thorn,ما في وردة بلا شوك,9
every rule has an exception,لكل قاعدة شواذ,10
every shut eye isn't asleep,مو كل من نام غطى عيونه,7
every silver lining has a cloud,ما كل ما يلمع ذهبًا,6
every stick has two ends,لكل فعل رد فعل,5
every tide has its ebb,دوام الحال من المحال,9
everybody wants to go to heaven but nobody wants to die,الكل يريد الجنة ولا أحد يريد أن يموت,8
everyone has their price,لكل إنسان مفتاح,6
everything comes to those who wait,من صبر ظفر,10
everything happens for a reason,لعل في الأمر خيرًا,8
everything is fair in love and war,الحب والحرب لا قانون لهما,7
everything old is new again,ما أشبه اليوم بالبارحة,7
evil be to him who evil thinks,من حفر حفرة لأخيه وقع فيها,7
experience is the best teacher,التجربة خير برهان,10
fact is stranger than fiction,الواقع أغرب من الخيال,8
facts speak louder than words,الأفعال أبلغ من الأقوال,9
failing to plan is planning to fail,من جد وجد ومن زرع حصد,6
failure to prepare is preparing to fail,من جد وجد ومن زرع حصد,7
faint heart never won fair lady,من خاف ما نال,9
fair exchange is no robbery,التراضي بين التجار عدل,6
faith can move mountains,من توكل على الله فهو حسبه,7
faith will move mountains,من توكل على الله فهو حسبه,7
fake it till you make it,التمسكن حتى تتمكن,9
"fall seven times, stand up eight",سبع مرات يسقط الرجل وثمان يقوم,6
false friends are worse than open enemies,عدو عاقل خير من صديق جاهل,8
familiarity breeds contempt,كثرة المزاح تذهب المهابة,6
fas est et ab hoste doceri,الحكمة ضالة المؤمن أنّى وجدها فهو أحق بها,9
fight fire with fire,داوِها بالتي كانت هي الداء,9
finders keepers,اللي لقى عظم يرميه واللي لقى لقية يخبيها,5
"finders, keepers",اللي لقى لقية يستاهلها,5
"finders, keepers; losers, weepers",اللي يفوته الفوت ما ينفعه الصوت,6
fine feathers make fine birds,على قد فراشك مد رجليك,3
fine words butter no parsnips,الكلام الحلو ما يطبخ بامية,7
first catch your hare,اعقلها وتوكل,4
"first come, first served",اللي يسبق يأخذ النصيب,7
first impressions are the most lasting,الانطباع الأول يدوم,8
first things first,ابدأ بالأهم قبل المهم,9
fish always rots from the head downwards,إذا فسد الراعي فسد الرعية,9
fish and company stink after three days,الضيف إذا زاد عن حده انقلب إلى ضده,8
fish and guests smell after three days,الضيف إذا طول يثقل,7
flattery will get you nowhere,ما طار طير وارتفع إلا كما طار وقع,3
"fool me once, shame on you; fool me twice, shame on me",لا يلدغ المؤمن من جحر واحد مرتين,10
fools rush in,في العجلة الندامة,8
fools rush in where angels fear to tread,في العجلة الندامة وفي التأني السلامة,9
for want of a nail the shoe was lost; for want of a shoe the horse was lost; and for want of a horse the man was lost,القشة التي قصمت ظهر البعير,6
forbidden fruit is the sweetest,كل ممنوع مرغوب,10
forewarned is forearmed,من حذر سلم,9
"forewarned, forearmed",من حذر سلم,9
fortune favors the bold,من خاض البحر استخرج اللؤلؤ,7
fortune favors the brave,من خاض البحر استخرج اللؤلؤ,7
fortune favors the daring,من خاف سلم ومن خاطر غنم,9
fortune favours the bold,من خاف سلم ومن خاطر غنم,9
fortune favours the bold/brave,من خاف سلم ومن خاطر غنم,9
fortune favours the brave,من خاف سلم ومن خاطر غنم,9
fortune favours the daring,من خاف سلم ومن خاطر غنم,9
free is for me,اللي يجي من الله حلال,5
freedom ain't free,الحرية لا تُوهب بل تُنتزع,8
freedom is not free,الحرية لا تُوهب بل تُنتزع,8
freedom isn't free,الحرية لا تُوهب بل تُنتزع,8
freedom's not free,الحرية لا تُوهب بل تُنتزع,8
from the sublime to the ridiculous,من القصور إلى القبور,4
"garbage in, garbage out",كما تزرع تحصد,7
genius is an infinite capacity for taking pains,من جد وجد,6
"genius is one percent inspiration, ninety-nine percent perspiration",العبقرية واحد بالمئة إلهام وتسعة وتسعون بالمئة عرق,6
give a dog a bad name and hang him,رماه بدائه وانسلّ,8
give a man a fish and you feed him for a day. teach a man to fish and you feed him for a lifetime,لا تعطه سمكة بل علمه كيف يصطاد,9
give a man a fish and you feed him for a day; teach a man to fish and you feed him for a lifetime,لا تعطه سمكة بل علمه كيف يصطاد,9
give a man rope enough and he will hang himself,داوِها بالتي كانت هي الداء,4
give credit where credit is due,أعطِ كلَّ ذي حقٍّ حقَّه,10
give him an inch and he will take a mile,إن أكرمت الكريم ملكته وإن أكرمت اللئيم تمردا,7
give someone an inch and someone will take a mile,إن أكرمت الكريم ملكته وإن أكرمت اللئيم تمردا,7
give the devil his/her due,اعطِ القيصر ما لقيصر,7
give them an inch and they'll take a mile,إن أكرمت الكريم ملكته وإن أكرمت اللئيم تمردا,7
give them an inch and they'll take an ell,إن أكرمت الكريم ملكته وإن أكرمت اللئيم تمردا,7
go hard or go home,إما أن تفعلها كما يجب أو لا تفعل,6
god doesn't give with both hands,ما جمع الله لأحد بين نعمتين,6
god helps them that help themselves,اسعَ يا عبد وأنا أسعى معك,8
god helps them who help themselves,اسعَ يا عبد وأنا أسعى معك,8
god helps those who help themselves,اسعَ يا عبد وأنا أسعى معك,8
god is in the detail,الدقة في التفاصيل,4
god works in mysterious ways,لله في خلقه شؤون,9
gold is where you find it,الرزق يحب الخفية,5
good fences make good neighbors,ابعد حبة تزيد محبة,7
good fences make good neighbours,ابعد حبة تزيد محبة,7
good things come in small packages,خير الأشياء ما قل ودل,6
good things come to those who wait,من صبر ظفر,10
good wine needs no bush,الجيد يفرض نفسه,6
"good work ain't cheap, cheap work ain't good",الغالي ثمنه فيه,8
