en,fr,confidence
all that glitters/glistens is not gold,Tout ce qui brille n’est pas or,10
all the world loves a lover,Les amoureux sont toujours pardonnés,5
all the world's a stage,La vie est une comédie,6
all things come to those who wait,Tout vient à point à qui sait attendre,10
all things must pass,"Tout passe, tout casse, tout lasse",7
all work and no play makes jack a dull boy,Il n’y a pas que le travail dans la vie,6
all you need is love,L’amour fait tout,5
all's fair in love and war,À la guerre comme à la guerre,8
all's fish that comes to the net,Tout est bon à prendre,8
all's well that ends well,Tout est bien qui finit bien,10
almost doesn't count,Presque ne compte pas,5
almost only counts in horseshoes and hand grenades,Presque ne compte pas,4
an apple a day keeps the doctor at bay,Mieux vaut prévenir que guérir,9
an apple a day keeps the doctor away,Mieux vaut prévenir que guérir,9
an army marches on its stomach,Ventre affamé n’a point d’oreilles,6
an englishman's home is his castle,Chacun est roi chez soi,9
an englishman's home is his castle/a man's home is his castle,Chacun est roi chez soi,9
an eye for an eye makes the whole world blind,La vengeance ne mène à rien,5
"an eye for an eye, a tooth for a tooth","Œil pour œil, dent pour dent",10
an honest man doesn't need to remember much,Qui dit la vérité n’a rien à se reprocher,6
an image is worth a thousand words,Une image vaut mille mots,10
an ounce of prevention is better than a pound of cure,Mieux vaut prévenir que guérir,10
an ounce of prevention is better than an ounce of cure,Mieux vaut prévenir que guérir,10
an ounce of prevention is worth a pound of cure,Mieux vaut prévenir que guérir,10
"another day, another dollar","Métro, boulot, dodo",7
any exposure is good exposure,"Peu importe qu’on parle de toi en bien ou en mal, l’important c’est qu’on en parle",8
any port in a storm,"Faute de grives, on mange des merles",8
any press is good press,"Peu importe qu’on parle de toi en bien ou en mal, l’important c’est qu’on en parle",9
any publicity is good publicity,"Peu importe qu’on parle de toi en bien ou en mal, l’important c’est qu’on en parle",10
anything worth doing is hard,On n’a rien sans rien,7
appearances are deceptive,L’habit ne fait pas le moine,10
april showers bring forth may flowers,"Après la pluie, le beau temps",9
april showers bring may flowers,"Après la pluie, le beau temps",9
"art is long, life is short","L’art est long, la vie est brève",10
"as a dog returns to his vomit, so a fool repeats his folly","Chassez le naturel, il revient au galop",8
"as a tree bends, so shall it grow",C’est en pliant qu’on redresse l’arbre,5
"as one door closes, another opens","Une porte se ferme, une autre s’ouvre",8
"as the mountain could not wait upon mahomet, mahomet would go to the mountain","Si la montagne ne vient pas à toi, va à la montagne",10
"as the twig is bent, so is the tree inclined",C’est en pliant qu’on redresse l’arbre,6
"as you have brewed, so you must drink",On récolte ce que l’on sème,7
"as you make your bed, so you must lie in it","Comme on fait son lit, on se couche",10
"as you make your bed, so you must lie upon it","Comme on fait son lit, on se couche",10
as you sow so shall you reap,On récolte ce que l’on sème,10
"as you sow, so shall you reap",On récolte ce que l’on sème,10
ask a silly question and you will get a silly answer,"À question idiote, réponse idiote",9
"ask a silly question, get a silly answer","À question idiote, réponse idiote",9
"ask a stupid question, get a stupid answer","À question idiote, réponse idiote",9
ask no questions and hear no lies,Qui ne demande rien n’entend que des mensonges,3
at the end of my rope,Être à bout,10
attack is the best form of defence,"La meilleure défense, c’est l’attaque",10
attack is the best form of defense,"La meilleure défense, c’est l’attaque",10
attitude reflects leadership,"Tel chef, tels hommes",8
bad money drives out good,La mauvaise monnaie chasse la bonne,10
bad news travels fast,Les mauvaises nouvelles vont vite,10
bad things come in threes,Jamais deux sans trois,10
barking dogs never bite,Chien qui aboie ne mord pas,10
barking dogs seldom bite,Chien qui aboie ne mord pas,10
be yourself,Sois toi-même,9
beauty is but skin-deep,L’habit ne fait pas le moine,7
beauty is in the eye of the beholder,Tous les goûts sont dans la nature,9
beauty is only skin deep,L’habit ne fait pas le moine,7
beauty never boiled the pot,Belle figure ne fait pas bouillir la marmite,9
beauty won't boil the pot,Belle figure ne fait pas bouillir la marmite,9
beauty won't make the pot boil,Belle figure ne fait pas bouillir la marmite,9
"before setting out on a mission of vengeance, dig two graves",Qui sème le vent récolte la tempête,6
beggars can't be choosers,Mendiant n’est pas choisissant,9
beggars cannot be choosers,Mendiant n’est pas choisissant,9
behind every great man is a great woman,"Derrière chaque grand homme, il y a une femme",10
behind every great man there stands a woman,"Derrière chaque grand homme, il y a une femme",10
"behind every great man, there is a great woman","Derrière chaque grand homme, il y a une femme",10
behind every successful man there stands a woman,"Derrière chaque grand homme, il y a une femme",10
better an egg today than a hen tomorrow,Un tiens vaut mieux que deux tu l’auras,10
better is the enemy of good,Le mieux est l’ennemi du bien,10
better late than never,Mieux vaut tard que jamais,10
better one word in time than two afterwards,Un bon averti en vaut deux,6
better safe than sorry,Mieux vaut prévenir que guérir,10
better the devil you know,"On sait ce qu’on perd, on ne sait pas ce qu’on gagne",9
better the devil you know than the devil you don't,"On sait ce qu’on perd, on ne sait pas ce qu’on gagne",9
better the devil you know than the devil you don't know,"On sait ce qu’on perd, on ne sait pas ce qu’on gagne",9
better the devil you know than the one you don't,"On sait ce qu’on perd, on ne sait pas ce qu’on gagne",9
better the devil you know than the one you don't know,"On sait ce qu’on perd, on ne sait pas ce qu’on gagne",9
better to have loved and lost than never to have loved at all,Il vaut mieux avoir aimé et perdu que de n’avoir jamais aimé,7
better to light a candle than to curse the darkness,Il vaut mieux allumer une bougie que maudire les ténèbres,8
better to light a single candle than to curse the darkness,Il vaut mieux allumer une bougie que maudire les ténèbres,8
better to light one candle than to curse the darkness,Il vaut mieux allumer une bougie que maudire les ténèbres,8
better to light one small candle than to curse the darkness,Il vaut mieux allumer une bougie que maudire les ténèbres,8
better to reign in hell than serve in heaven,Mieux vaut régner en enfer que servir au paradis,8
better to remain silent and be thought a fool than to speak and remove all doubt,Il vaut mieux se taire et passer pour un imbécile que parler et ne laisser aucun doute,7
better wear out than rust out,Mieux vaut s’user que se rouiller,8
beware of greeks bearing gifts,"Je crains les Grecs, même quand ils font des présents",9
big fish eat little fish,Les gros poissons mangent les petits,9
big things come in small packages,Tout ce qui est petit est mignon,6
bird in the hand,Un tiens vaut mieux que deux tu l’auras,10
birds of a feather,Qui se ressemble s’assemble,10
birds of a feather flock together,Qui se ressemble s’assemble,10
birds of the feather flock together,Qui se ressemble s’assemble,10
bis dat qui cito dat,Qui donne vite donne deux fois,10
blood is thicker than water,Les liens du sang sont les plus forts,9
born with a silver spoon in one's mouth,Être né avec une cuillère en argent dans la bouche,9
boys will be boys,Garçons seront toujours garçons,6
brevity is the soul of wit,La concision est l’âme de l’esprit,8
business before pleasure,"D’abord le travail, ensuite le plaisir",8
"buy cheap, buy twice",Qui achète bon marché achète deux fois,8
"by failing to prepare, you are preparing to fail","Ne pas se préparer, c’est se préparer à échouer",7
caesar's wife must be above suspicion,La femme de César ne doit pas être soupçonnée,9
calm seas never made a good sailor,C’est dans la tempête qu’on reconnaît le bon marin,7
"can't live with 'em, can't live without 'em","Avec eux c’est difficile, sans eux c’est impossible",6
can't live with them and can't live without them,"Avec eux c’est difficile, sans eux c’est impossible",6
"can't live with them, can't live without them","Avec eux c’est difficile, sans eux c’est impossible",6
"cannot live with them, cannot live without them","Avec eux c’est difficile, sans eux c’est impossible",6
care killed a cat,La peur n’évite pas le danger,6
care killed the cat,La peur n’évite pas le danger,6
careless talk costs lives,"La parole est d’argent, mais le silence est d’or",7
carpe diem,Cueille le jour présent sans te soucier du lendemain,8
cast not a clout till may be out,"En avril, ne te découvre pas d’un fil",10
caveat lector,"À bon entendeur, salut",5
charity begins at home,Charité bien ordonnée commence par soi-même,10
cheaters never prosper,Bien mal acquis ne profite jamais,10
cheats never prosper,Bien mal acquis ne profite jamais,10
"cheese, wine, and friends must be old to be good",Vieux amis et vieux vins sont les meilleurs,10
children should be seen and not heard,Les enfants doivent se taire quand les grands parlent,8
christmas comes but once a year,Noël ne vient qu’une fois l’an,9
civility costs nothing and buys everything,La politesse ne coûte rien et peut tout rapporter,6
"claw me, claw thee","Donne-moi la main, je te donnerai le bras",4
cleanliness is next to godliness,La propreté est la moitié de la santé,7
clogs to clogs in three generations,"Riche en un jour, pauvre en trois",5
clothes don't make the man,L’habit ne fait pas le moine,10
clothes make the man,L’habit fait le moine,10
clothes maketh the man,L’habit fait le moine,10
"cobbler, keep to your last","À chacun son métier, les vaches seront bien gardées",10
coffee and love taste best when hot,"Loin des yeux, loin du cœur",3
"cold hands, warm heart","Main froide, cœur chaud",10
common sense is neither common nor sensical,Le bon sens est la chose du monde la mieux partagée,4
comparison is the thief of joy,La comparaison est la mort du bonheur,3
comparisons are odious,Les comparaisons sont odieuses,9
cool heads must prevail,Il faut garder la tête froide,8
cool heads prevail,La raison finit par l’emporter,7
cool heads will prevail,La raison finira par l’emporter,7
cooler heads must prevail,Il faut garder la tête froide,8
cooler heads prevail,La raison finit par l’emporter,7
cooler heads will prevail,La raison finira par l’emporter,7
count your blessings,Contente-toi de ce que tu as,6
cowards may die many times before their death,Les lâches meurent plusieurs fois avant de mourir,8
cream rises,La crème remonte toujours à la surface,6
crime does not pay,Le crime ne paie pas,10
crime doesn't pay,Le crime ne paie pas,10
cross my heart and hope to die stick a needle in my eye,"Croix de bois, croix de fer, si je mens je vais en enfer",10
cross the stream where it is shallowest,Il faut choisir le moindre mal,6
curiosity killed the cat,La curiosité est un vilain défaut,10
curses like chickens come home to roost,On récolte ce que l’on sème,9
cut your coat according to your cloth,Il faut vivre selon ses moyens,9
dance with the one that brought ya,On danse avec celle qu’on a invitée,6
dance with the one that brought you,On danse avec celle qu’on a invitée,6
dance with the one that brung ya,On danse avec celle qu’on a invitée,6
dance with the one that brung you,On danse avec celle qu’on a invitée,6
dance with the one what brought ya,On danse avec celle qu’on a invitée,6
dance with the one what brought you,On danse avec celle qu’on a invitée,6
dance with the one what brung ya,On danse avec celle qu’on a invitée,6
dance with the one what brung you,On danse avec celle qu’on a invitée,6
dance with the one who brought ya,On danse avec celle qu’on a invitée,6
dance with the one who brought you,On danse avec celle qu’on a invitée,6
dance with the one who brung ya,On danse avec celle qu’on a invitée,6
dance with the one who brung you,On danse avec celle qu’on a invitée,6
danger past and god forgotten,"Péril passé, Dieu oublié",10
danger past god forgotten,"Péril passé, Dieu oublié",10
danger past god is forgotten,"Péril passé, Dieu oublié",10
dead men can tell no tales,Les morts ne parlent pas,9
dead men tell no tales,Les morts ne parlent pas,9
death is the great leveller,La mort n’épargne personne,8
desperate times call for desperate measures,Aux grands maux les grands remèdes,10
desperate times require desperate measures,Aux grands maux les grands remèdes,10
devil lies in the details,Le diable se cache dans les détails,10
devil take the hindmost,Sauve qui peut,7
different strokes for different folks,Chacun ses goûts,9
discretion is the better part of valor,"La meilleure des bravoures, c’est la prudence",7
discretion is the better part of valour,"La meilleure des bravoures, c’est la prudence",7
divide and conquer,Diviser pour régner,10
do as i say and not as i do,"Faites ce que je dis, pas ce que je fais",10
do as i say not as i do,"Faites ce que je dis, pas ce que je fais",10
do as you would be done by,Ne fais pas aux autres ce que tu ne voudrais pas qu’on te fasse,10
do not bite the hand that feeds you,Il ne faut pas mordre la main qui vous nourrit,9
do not burn your bridges behind you,Il ne faut pas brûler ses vaisseaux,9
do not carry coals to newcastle,Ce n’est pas la peine d’apporter de l’eau à la rivière,8
do not cast your pearls before swine,Donner de la confiture aux cochons,10
do not change horses in midstream,On ne change pas de cheval au milieu du gué,10
do not count your chickens before they are hatched,Il ne faut pas vendre la peau de l’ours avant de l’avoir tué,10
do not cross the bridge till you come to it,Chaque chose en son temps,7
do not cry over spilled milk,Ce qui est fait est fait,8
do not cut off your nose to spite your face,Ne te tire pas une balle dans le pied,7
do not dish it if you can't take it,Il faut savoir encaisser les coups qu’on donne,6
do not judge a book by its cover,L’habit ne fait pas le moine,10
do not keep a dog and bark yourself,À chacun son métier,6
do not let the bastards grind you down,Ne te laisse pas marcher sur les pieds,6
do not let the grass grow beneath (one's) feet,Il ne faut pas laisser l’herbe pousser sous les pieds,9
do not look a gift horse in the mouth,À cheval donné on ne regarde pas les dents,10
do not make a mountain out of a mole hill,Il ne faut pas en faire tout un fromage,10
do not meet troubles half-way,Il ne faut pas se faire des montagnes pour rien,6
do not put all your eggs in one basket,Il ne faut pas mettre tous ses œufs dans le même panier,10
do not put new wine into old bottles,On ne met pas du vin nouveau dans de vieilles outres,9
do not put off until tomorrow what you can do today,Il ne faut pas remettre au lendemain ce qu’on peut faire le jour même,10
do not put the cart before the horse,Il ne faut pas mettre la charrue avant les bœufs,10
do not put too many irons in the fire,Qui trop embrasse mal étreint,10
do not rock the boat,Il ne faut pas remuer la boue,5
do not shut/lock the stable door after the horse has bolted,Il ne faut pas fermer l’écurie quand les chevaux sont déjà partis,7
do not spend it all in one place,Il ne faut pas mettre tout son argent au même endroit,4
do not spoil the ship for a ha'porth of tar,Il ne faut pas lésiner sur la dépense,6
do not teach your grandmother to suck eggs,On n’apprend pas aux vieux singes à faire la grimace,10
do not throw pearls to swine,Donner de la confiture aux cochons,10
do not throw the baby out with the bathwater,Il ne faut pas jeter le bébé avec l’eau du bain,10
do not try to walk before you can crawl,Il ne faut pas brûler les étapes,8
do not upset the apple-cart,Ne viens pas tout gâcher,4
do not wash your dirty linen in public,Il faut laver son linge sale en famille,10
do unto others as you would have them do unto you,Ne fais pas à autrui ce que tu ne voudrais pas qu’on te fasse,10
"do what i say, not what i do","Faites ce que je dis, pas ce que je fais",10
"doctor, heal thyself","Médecin, soigne-toi toi-même",9
doctors make the worst patients,Les cordonniers sont les plus mal chaussés,8
"dogs have masters, cats have staff","Le chien a un maître, le chat a des domestiques",6
dogs have masters; cats have staff,"Le chien a un maître, le chat a des domestiques",6
"dogs have owners, cats have staff","Les chiens ont des maîtres, les chats ont des serviteurs",7
don't change a winning team,On ne change pas une équipe qui gagne,10
don't count your chickens,Il ne faut pas vendre la peau de l’ours avant de l’avoir tué,9
don't count your chickens before the eggs have hatched,Il ne faut pas vendre la peau de l’ours avant de l’avoir tué,10
don't count your chickens before they're hatched,Il ne faut pas vendre la peau de l’ours avant de l’avoir tué,10
don't count your chickens before they've hatched,Il ne faut pas vendre la peau de l’ours avant de l’avoir tué,10
don't count your chicks,Il ne faut pas vendre la peau de l’ours avant de l’avoir tué,8
don't count your chicks before they hatch,Il ne faut pas vendre la peau de l’ours avant de l’avoir tué,10
don't count your chicks before they're hatched,Il ne faut pas vendre la peau de l’ours avant de l’avoir tué,10
don't cry over spilled milk,Ce qui est fait est fait,9
don't dip your pen in company ink,Il ne faut pas mélanger travail et plaisir,7
don't drive faster than your guardian angel can fly,"Rien ne sert de courir, il faut partir à point",5
don't fish off the company dock,Il ne faut pas mélanger travail et plaisir,7
don't get above your raising,Il ne faut pas renier ses origines,6
"don't get mad, get even",La vengeance est un plat qui se mange froid,7
don't get your honey where you make your money,Il ne faut pas mélanger travail et plaisir,8
don't get your hopes up,Il ne faut pas se faire de faux espoirs,8
don't get your meat where you get your bread,Il ne faut pas mélanger travail et plaisir,7
"don't hate the player, hate the game",Ce n’est pas la faute du messager,4
don't judge a book by its cover,L’habit ne fait pas le moine,10
don't keep a dog and bark yourself,À chacun son métier,7
don't look a gift horse in the mouth,À cheval donné on ne regarde pas les dents,10
don't mess with success,On ne change pas une équipe qui gagne,9
don't put all your eggs in one basket,Il ne faut pas mettre tous ses œufs dans le même panier,10
don't sell the skin till you have caught the bear,Il ne faut pas vendre la peau de l’ours avant de l’avoir tué,10
don't shit in your own nest,Il ne faut pas scier la branche sur laquelle on est assis,9
don't shit where you eat,Il ne faut pas scier la branche sur laquelle on est assis,8
don't shoot the messenger,Il ne faut pas tuer le messager,8
don't sweat the small stuff,Il ne faut pas se noyer dans un verre d’eau,8
don't take any wooden nickels,Il ne faut pas être né de la dernière pluie,5
don't teach your grandmother how to milk ducks,On n’apprend pas aux vieux singes à faire la grimace,10
don't teach your grandmother to steal sheep,On n’apprend pas aux vieux singes à faire la grimace,10
don't try to teach grandma how to suck eggs,On n’apprend pas aux vieux singes à faire la grimace,10
"doubt is the beginning, not the end, of wisdom",Le doute est le commencement de la sagesse,9
drastic times call for drastic measures,Aux grands maux les grands remèdes,10
dripping water hollows a stone,"Goutte à goutte, l’eau creuse la pierre",9
drunk words are sober thoughts,"Ce que le sobre a dans le cœur, l’ivrogne l’a sur la langue",10
drunken words are sober thoughts,"Ce que le sobre a dans le cœur, l’ivrogne l’a sur la langue",10
e pluribus unum,L’union fait la force,9
each to his own,Chacun ses goûts,10
"early to bed and early to rise makes a man healthy, wealthy and wise",Le monde appartient à ceux qui se lèvent tôt,9
"early to bed, early to rise, makes a man healthy, wealthy and wise",Le monde appartient à ceux qui se lèvent tôt,9
easier said than done,Plus facile à dire qu’à faire,10
"east is east, and west is west","Chacun chez soi, les vaches seront bien gardées",5
"east, west, home is best",On n’est bien que chez soi,10
"easy come, easy go",Bien mal acquis ne profite jamais,6
"eat to live, not live to eat",Il faut manger pour vivre et non vivre pour manger,10
"eat, drink and be merry","Mangeons et buvons, car demain nous mourrons",9
"eat, drink and be merry for tomorrow we die","Mangeons et buvons, car demain nous mourrons",10
"eat, drink and be merry, for tomorrow we die","Mangeons et buvons, car demain nous mourrons",10
"eat, drink, and be merry","Mangeons et buvons, car demain nous mourrons",9
"eat, drink, and be merry, for tomorrow we die","Mangeons et buvons, car demain nous mourrons",10
eaten bread is soon forgotten,Les bons comptes font les bons amis,3
empty barrels make the most noise,Les tonneaux vides sont ceux qui font le plus de bruit,9
empty cans make the most noise,Les tonneaux vides sont ceux qui font le plus de bruit,9
empty vessels make the most noise,Les tonneaux vides sont ceux qui font le plus de bruit,9
empty vessels make the most sound,Les tonneaux vides sont ceux qui font le plus de bruit,9
enough is as good as a feast,Le mieux est l’ennemi du bien,7
est modus in rebus,Il y a une mesure en toute chose,6
even a blind pig can find an acorn,Même une horloge arrêtée donne l’heure juste deux fois par jour,7
even a blind pig can find an acorn once in a while,Même une horloge arrêtée donne l’heure juste deux fois par jour,7
even a blind squirrel can find a nut once in a while,Même une horloge arrêtée donne l’heure juste deux fois par jour,7
even a blind squirrel finds an acorn every now and then,Même une horloge arrêtée donne l’heure juste deux fois par jour,7
even a blind squirrel finds an acorn every once in a while,Même une horloge arrêtée donne l’heure juste deux fois par jour,7
even a broken clock is right twice a day,Même une horloge arrêtée donne l’heure juste deux fois par jour,10
even a stopped clock is right twice a day,Même une horloge arrêtée donne l’heure juste deux fois par jour,10
even a worm will turn,Il ne faut pas pousser le bouchon trop loin,5
even from a foe a man may learn wisdom,On apprend à tout âge et de tout le monde,6
even homer nods,Nul n’est parfait,8
even jove nods,Nul n’est parfait,8
every barrel has a rotten apple,Il y a une brebis galeuse dans chaque troupeau,9
every cloud has a silver lining,À quelque chose malheur est bon,10
every dark cloud has a silver lining,À quelque chose malheur est bon,10
every day is a school day,On en apprend tous les jours,10
every dog has his day,À chacun son heure de gloire,8
every dog has its day,À chacun son heure de gloire,8
every dog must have his day,À chacun son heure de gloire,8
every dog must have its day,À chacun son heure de gloire,8
every jack has his jill,À chaque pot son couvercle,9
every law has a loophole,À chaque loi son détour,4
every law has its loophole,À chaque loi son détour,4
every little bit helps,Les petits ruisseaux font les grandes rivières,10
every little helps,Les petits ruisseaux font les grandes rivières,10
every man for himself,Chacun pour soi,10
every man has a price,Tout homme a son prix,7
every man has his price,Tout homme a son prix,7
every man is the architect of his own fortune,On est l’artisan de son propre destin,8
every miller draws water to his own mill,Chacun voit midi à sa porte,9
every picture tells a story,Une image vaut mille mots,9
every rose has a thorn,Il n’y a pas de rose sans épines,10
every rose has its thorn,Il n’y a pas de rose sans épines,10
every rule has an exception,Toute règle a son exception,8
every shut eye isn't asleep,Il n’y a pas pire sourd que celui qui ne veut pas entendre,3
every stick has two ends,Toute médaille a son revers,8
every tide has its ebb,Après la marée vient le jusant,3
everybody wants to go to heaven but nobody wants to die,Tout le monde veut aller au paradis mais personne ne veut mourir,9
everyone has their price,Tout homme a son prix,7
everything comes to those who wait,Tout vient à point à qui sait attendre,10
everything happens for a reason,À quelque chose malheur est bon,6
everything is fair in love and war,"En amour comme à la guerre, tous les coups sont permis",9
everything old is new again,Tout revient à la mode,8
