en,fa,confidence
a fair booty makes many a thief,مال مفت، دلِ موش را هم شیر می‌کند,6
a fault confessed is half redressed,اعتراف به خطا نصفِ بخشش است,6
a fool and his money are soon parted,مالِ بی‌عقل به دردِ عاقل می‌خورد,7
a friend in need,رفیق وقتِ سختی,7
a friend in need is a friend indeed,دوست آن باشد که گیرد دست دوست,10
a friend to everyone is a friend to no one,کسی که با همه رفیق است با هیچ‌کس رفیق نیست,6
a golden key can open any door,پول درِ هر خانه‌ای را باز می‌کند,8
a good beginning makes a good ending,خشتِ اول چون نهد معمار کج تا ثریا می‌رود دیوار کج,8
a good conscience is a soft pillow,وجدانِ راحت، خوابِ راحت,5
a good deed is its own reward,کارِ نیکو کردن از پر کردن است,6
a healthy body is a healthy mind,عقل سالم در بدن سالم است,10
a hit dog hollers,دزد همیشه از سایه می‌ترسد,6
a hit dog will holler,دزد همیشه از سایه می‌ترسد,6
a house divided against itself cannot stand,خانه‌ای که دو تا شد، ویران شد,6
a house is not a home,خانه بی‌محبت، خانه نیست,6
a hungry man is an angry man,شکم گرسنه دین و ایمان نمی‌شناسد,8
a journey of a thousand miles begins with a single step,هزار فرسنگه را قدم به قدم باید رفت,8
a leopard cannot change its spots,ذاتِ نایافته از هستی‌بخش کی تواند که شود هستی‌بخش,6
a leopard does not change its spots,ذاتِ نایافته از هستی‌بخش کی تواند که شود هستی‌بخش,6
a lie can run around the world before the truth can get its boots on,دروغ هرچند تند رود، رسوا شود,7
a lie has no legs,دروغ پا ندارد,9
a little knowledge is a dangerous thing,نیمه‌دانسته از نادانی بدتر است,7
a little learning is a dangerous thing,نیمه‌دانسته از نادانی بدتر است,7
a man is known by the company he keeps,از دوستت می‌شناسمت,8
a man's home is his castle,چهار دیواری، اختیاری,10
a mill cannot grind with the water that is past,آب رفته به جوی بازنمی‌گردد,9
a mind is a terrible thing to waste,عقل نعمت است، هدرش نده,5
a miss is as good as a mile,کم و زیادش فرقی نمی‌کند، خطاست,5
"a moment on the lips, a lifetime on the hips",لذتِ دهان، زحمتِ جان,6
a new broom sweeps clean,جارو نو خوب جارو می‌کند,7
"a new broom sweeps clean, but an old broom knows all the corners",جارو نو خوب جارو می‌کند، ولی جارو کهنه گوشه‌ها را می‌شناسد,8
"a new broom sweeps clean, but an old broom knows the corners",جارو نو خوب جارو می‌کند، ولی جارو کهنه گوشه‌ها را می‌شناسد,8
"a new broom sweeps clean, but the old broom knows the corners",جارو نو خوب جارو می‌کند، ولی جارو کهنه گوشه‌ها را می‌شناسد,8
a new language is a new life,یک زبان تازه، یک دنیای تازه است,6
a nod is as good as a wink,اشاره برای آدم فهمیده کافی است,7
a nod is as good as a wink to a blind horse,اشاره برای آدم نفهم فایده ندارد,6
a penny saved is a penny earned,یک قران صرفه، یک قران منفعت,7
a penny saved is a penny gained,یک قران صرفه، یک قران منفعت,7
actions have consequences,از هر دست بدهی از همان دست می‌گیری,9
actions speak louder than words,دو صد گفته چون نیم کردار نیست,10
adversity makes strange bedfellows,گرگ بی‌دندان هم رفیق می‌شود,5
age is just a number,دل جوونه، سن چه اهمیتی داره,6
"all animals are equal, but some animals are more equal than others",همه برابرند، بعضی برابرترند,8
all cats are gray at night,شب همه‌ گربه‌ها سیاهند,10
all cats are gray in the dark,شب همه‌ گربه‌ها سیاهند,10
all cats are grey at night,شب همه‌ گربه‌ها سیاهند,10
all cats are grey by night,شب همه‌ گربه‌ها سیاهند,10
all cats are grey in the dark,شب همه‌ گربه‌ها سیاهند,10
all good things come to an end,هیچ شادی‌ای پایدار نیست,6
all good things come to him who waits,گر صبر کنی ز غوره حلوا سازی,10
all good things must come to an end,هیچ شادی‌ای پایدار نیست,6
all hands on deck/to the pump,همه باید دست‌به‌دست هم بدهند,6
all is fair in love and war,در عشق و جنگ همه‌چیز مجازه,8
all is fish that comes to the net,هر چه گیرش می‌آد غنیمته,7
all is for the best in the best of all possible worlds,هر چه پیش آید خوش آید,7
all is grist that comes to the mill,هر چه گیرش می‌آد غنیمته,7
all is well that ends well,خوش باشد آن‌چه عاقبتش خیر باشد,8
all publicity is good publicity,بدنامی هم خودش نعمتیه,4
all roads lead to mecca,همه راه‌ها به یک‌جا ختم می‌شود,5
all roads lead to rome,همه راه‌ها به یک‌جا ختم می‌شود,6
all roads lead to sydney,همه راه‌ها به یک‌جا ختم می‌شود,5
all that glisters is not gold,هر گردی گردو نیست,10
all that glitters,هر گردی گردو نیست,6
all that glitters is not gold,هر گردی گردو نیست,10
all that glitters/glistens is not gold,هر گردی گردو نیست,10
all the world loves a lover,عاشق را همه دوست دارند,5
all the world's a stage,دنیا صحنه‌ نمایش است,4
all things come to those who wait,گر صبر کنی ز غوره حلوا سازی,10
all things excellent are as difficult as they are rare,نابرده رنج گنج میسر نمی‌شود,8
all things must pass,این نیز بگذرد,10
all work and no play makes jack a dull boy,کار بی‌تفریح آدم را فرسوده می‌کند,4
all you need is love,عشق همه‌چیز را درست می‌کند,4
all's fair in love and war,در عشق و جنگ همه‌چیز مجازه,10
all's fish that comes to the net,هر چه گیرش می‌آد غنیمته,7
all's well that ends well,خوش باشد آن‌چه عاقبتش خیر باشد,9
almost doesn't count,«نزدیک بود» به کار نمی‌آید,3
almost only counts in horseshoes and hand grenades,با یک گل بهار نمی‌شود,5
an apple a day keeps the doctor at bay,پیشگیری بهتر از درمان است,9
an apple a day keeps the doctor away,پیشگیری بهتر از درمان است,9
an army marches on its stomach,شکم گرسنه دین و ایمان ندارد,6
an englishman's home is his castle,چهاردیواری، اختیاری,10
an englishman's home is his castle/a man's home is his castle,چهاردیواری، اختیاری,10
an eye for an eye makes the whole world blind,ببخش تا بخشیده شوی,6
"an eye for an eye, a tooth for a tooth",چشم در برابر چشم، دندان در برابر دندان,8
an honest man doesn't need to remember much,راستگو کم‌حافظه است,10
an image is worth a thousand words,یک تصویر بهتر از هزار حرف است,6
an ounce of prevention is better than a pound of cure,پیشگیری بهتر از درمان است,10
an ounce of prevention is better than an ounce of cure,پیشگیری بهتر از درمان است,10
an ounce of prevention is worth a pound of cure,پیشگیری بهتر از درمان است,10
any exposure is good exposure,بدنامی بهتر از گمنامی است,8
any port in a storm,غریق به هر خاشاکی چنگ می‌زند,10
any press is good press,بدنامی بهتر از گمنامی است,9
any publicity is good publicity,بدنامی بهتر از گمنامی است,9
anything worth doing is hard,نابرده رنج گنج میسر نمی‌شود,10
appearances are deceptive,از روی ظاهر قضاوت نکن,7
april showers bring forth may flowers,تا نباشد چیزکی مردم نگویند چیزها,3
"art is long, life is short",عمر کوتاه است و هنر بسیار,7
"as a dog returns to his vomit, so a fool repeats his folly",آدم احمق از یک سوراخ چند بار گزیده می‌شود,6
"as a tree bends, so shall it grow",بنی‌آدم از کودکی,2
"as one door closes, another opens",درِ ناامیدی بسته می‌شود، درِ امید باز می‌شود,6
"as the mountain could not wait upon mahomet, mahomet would go to the mountain",اگر کوه به سر پیامبر نیاید، پیامبر به سر کوه می‌رود,4
"as the twig is bent, so is the tree inclined",شاخِ نهال را هر طور کج کنی همان‌طور بزرگ می‌شود,4
"as you have brewed, so you must drink",خود کرده را تدبیر نیست,10
"as you make your bed, so you must lie in it",خود کرده را تدبیر نیست,10
"as you make your bed, so you must lie upon it",خود کرده را تدبیر نیست,10
as you sow so shall you reap,هر چه بکاری همان را درو می‌کنی,10
"as you sow, so shall you reap",هر چه بکاری همان را درو می‌کنی,10
ask a silly question and you will get a silly answer,سؤال بی‌خود جواب بی‌خود دارد,6
"ask a silly question, get a silly answer",سؤال بی‌خود جواب بی‌خود دارد,6
"ask a stupid question, get a stupid answer",سؤال ابلهانه جواب ابلهانه داره,7
ask my companion if i be a thief,شاهد از غیب رسید,4
ask no questions and hear no lies,سرک نکشی سرت کلاه نمی‌ره,6
at the end of my rope,دیگه طاقتم طاق شده,8
attack is the best form of defence,حمله بهترین دفاعه,9
attack is the best form of defense,حمله بهترین دفاعه,9
attitude reflects leadership,ماهی از سر گنده گردد نی ز دم,8
bad news travels fast,خبر بد زود می‌رسه,9
bad things come in threes,اتفاقات بد دوتا دوتا نمیان,3
barking dogs never bite,سگ که پارس می‌کنه، نمی‌گزه,8
barking dogs seldom bite,سگ زیاد پارس کن، کم‌گاز می‌گیره,7
be yourself,خودت باش,9
"beauty fades, dumb is forever",عقل که نباشه جان در عذاب است,7
beauty is but skin-deep,زیبایی ظاهریه و زودگذره,6
beauty is in the eye of the beholder,هر کسی از ظن خود شد یار من,6
beauty is only skin deep,زیبایی ظاهریه و زودگذره,6
beauty never boiled the pot,قشنگی نون و آب نمی‌شه,9
beauty won't boil the pot,قشنگی نون و آب نمی‌شه,9
beauty won't make the pot boil,قشنگی نون و آب نمی‌شه,9
"before setting out on a mission of vengeance, dig two graves",کسی که چاه می‌کنه، اول خودش می‌افته توش,7
beggars can't be choosers,گدا که باشی، گزینش معنا نداره,6
beggars cannot be choosers,گدا که باشی، گزینش معنا نداره,6
behind every great man is a great woman,پشت سر هر مرد موفقی یک زن قوی هست,7
behind every great man there stands a woman,پشت سر هر مرد موفقی یک زن قوی هست,7
"behind every great man, there is a great woman",پشت سر هر مرد موفقی یک زن قوی هست,7
behind every successful man there stands a woman,پشت سر هر مرد موفقی یک زن قوی هست,7
"bet on the jockey, not the horse",آدم مهمه نه ابزار,5
"bet the jockey, not the horse",آدم مهمه نه ابزار,5
better an egg today than a hen tomorrow,سیلی نقد به از حلوای نسیه,10
better is the enemy of good,بهتر، دشمن خوبه,6
better late than never,ماهی را هر وقت از آب بگیری تازه است,10
better one word in time than two afterwards,یک حرف به‌موقع بهتر از صد تا بعدشه,5
better safe than sorry,احتیاط شرط عقله,10
better the devil you know,دیگی که برای من نجوشه می‌خوام سر سگ توش بجوشه,3
better the devil you know than the devil you don't,آش نخورده و دهن سوخته,2
better the devil you know than the devil you don't know,آش نخورده و دهن سوخته,2
better to light a candle than to curse the darkness,به جای نفرین به تاریکی، شمعی روشن کن,9
better to light a single candle than to curse the darkness,به جای نفرین به تاریکی، شمعی روشن کن,9
better to light one candle than to curse the darkness,به جای نفرین به تاریکی، شمعی روشن کن,9
better to light one small candle than to curse the darkness,به جای نفرین به تاریکی، شمعی روشن کن,9
better to reign in hell than serve in heaven,شاه بی‌سرباز به که سرباز بی‌شاه,4
better to remain silent and be thought a fool than to speak and remove all doubt,کم گوی و گزیده گوی چون دُر,6
better wear out than rust out,آب در حرکت می‌گنده نه در راکد بودن,3
beware of greeks bearing gifts,از دشمن اگر محبت دیدی، حواست را جمع کن,4
big fish eat little fish,ماهی بزرگ، ماهی کوچک را می‌بلعد,8
big things come in small packages,فلفل نبین چه ریزه، بشکن ببین چه تیزه,10
bird in the hand,سیلی نقد به از حلوای نسیه,10
birds of a feather,کبوتر با کبوتر، باز با باز,10
birds of a feather flock together,کبوتر با کبوتر، باز با باز,10
birds of the feather flock together,کبوتر با کبوتر، باز با باز,10
blood is thicker than water,خون، خون را می‌کشد,7
born with a silver spoon in one's mouth,از شکم سیر و جای گرم بلند شده,5
boys will be boys,پسر است و هزار شیطنت,4
brevity is the soul of wit,کم گوی و گزیده گوی چون دُر,9
business before pleasure,کار امروز را به فردا مینداز,6
"buy cheap, buy twice",هر چی پول بدی همون‌قدر آش می‌خوری,8
"by failing to prepare, you are preparing to fail",کار بی‌حساب، به سرانجام نمی‌رسد,4
caesar's wife must be above suspicion,آن را که حساب پاک است از محاسبه چه باک است,7
calm seas never made a good sailor,مرد را در میدان کارزار می‌شناسند,5
care killed a cat,از بس فکر کرد، دق کرد,3
care killed the cat,از بس فکر کرد، دق کرد,3
careless talk costs lives,زبان سرخ سر سبز می‌دهد بر باد,9
carpe diem,دم را غنیمت بدان,10
cast not a clout till may be out,تا چهل‌روزِ بهار، بگو این است و نگو آن است,7
caveat lector,هر چه می‌شنوی نگو و هر چه می‌خوانی نپذیر,5
charity begins at home,چراغی که به خانه رواست به مسجد حرام است,10
cheaters never prosper,مال حرام برکت ندارد,9
cheats never prosper,مال حرام برکت ندارد,9
"cheese, wine, and friends must be old to be good",دوست قدیمی به از آشنای جدید,8
children should be seen and not heard,بچه را چه به حرف زدن بزرگ‌ترها,6
christmas comes but once a year,هر روز عید نیست,9
civility costs nothing and buys everything,ادب خرجی ندارد ولی همه‌چیز می‌آورد,7
"claw me, claw thee",تو نیکی می‌کن و در دجله انداز,3
cleanliness is next to godliness,نظافت نصف ایمان است,10
clogs to clogs in three generations,مال بی‌زحمت قدر ندارد و زود از دست می‌رود,5
close only counts in horseshoes,نزدیک بود، کار را راه نمی‌اندازد,4
close only counts in horseshoes and darts,نزدیک بود، کار را راه نمی‌اندازد,4
close only counts in horseshoes and hand grenades,نزدیک بود، کار را راه نمی‌اندازد,4
clothes don't make the man,آدم به لباس نیست، به کمال است,9
clothes make the man,آدم را به لباسش می‌شناسند,9
clothes maketh the man,آدم را به لباسش می‌شناسند,9
"cobbler, keep to your last",کاسه‌گر از کار خود بگو,6
"cold hands, warm heart",ظاهر بین نباش، دل را ببین,4
common sense is neither common nor sensical,عقل سلیم چندان هم سلیم و شایع نیست,3
comparison is the thief of joy,مقایسه آفتِ خوشبختی است,3
comparisons are odious,مقایسه کردن کار درستی نیست,3
cool heads must prevail,عقل باید حاکم باشد نه احساس,6
cool heads prevail,عقل بر احساس غلبه می‌کند,5
cool heads will prevail,آخرش این عقل است که پیروز می‌شود,5
cooler heads must prevail,عقل باید حاکم باشد نه احساس,6
cooler heads prevail,عقل بر احساس غلبه می‌کند,5
cooler heads will prevail,آخرش این عقل است که پیروز می‌شود,5
count your blessings,شکر نعمت، نعمتت افزون کند,10
cowards may die many times before their death,ترسو هزار بار می‌میرد، شجاع یک‌بار,9
cream rises,آفتاب زیر ابر نمی‌ماند,8
crime does not pay,دزد آخر کارش یا دار است یا دیوار,8
crime doesn't pay,دزد آخر کارش یا دار است یا دیوار,8
cross my heart and hope to die stick a needle in my eye,به قرآن قسم,6
cross the stream where it is shallowest,راه نزدیک‌تر را انتخاب کن,4
curiosity killed the cat,فضولی موقوف,6
curses like chickens come home to roost,از هر دست بدهی از همان دست می‌گیری,8
cut your coat according to your cloth,پا را اندازه گلیم‌ات دراز کن,10
dance with the one that brought ya,نمک خوردی نمکدان نشکن,8
dance with the one that brought you,نمک خوردی نمکدان نشکن,9
dance with the one that brung ya,نمک خوردی نمکدان نشکن,8
dance with the one that brung you,نمک خوردی نمکدان نشکن,9
dance with the one what brought ya,نمک خوردی نمکدان نشکن,8
dance with the one what brought you,نمک خوردی نمکدان نشکن,8
dance with the one what brung ya,نمک خوردی نمکدان نشکن,8
dance with the one what brung you,نمک خوردی نمکدان نشکن,8
dance with the one who brought ya,نمک خوردی نمکدان نشکن,8
dance with the one who brought you,نمک خوردی نمکدان نشکن,9
dance with the one who brung ya,نمک خوردی نمکدان نشکن,8
dance with the one who brung you,نمک خوردی نمکدان نشکن,9
danger past and god forgotten,تا مرگ نیاد به یاد خدا نمی‌افتن,6
danger past god forgotten,تا مرگ نیاد به یاد خدا نمی‌افتن,7
danger past god is forgotten,تا مرگ نیاد به یاد خدا نمی‌افتن,7
dead men can tell no tales,مرده که زبان ندارد,5
dead men tell no tales,مرده که زبان ندارد,5
death is the great leveller,مرگ شتر درِ همه خانه‌ها می‌خوابد,7
desperate times call for desperate measures,الغریق یتشبث بکل حشیش,8
desperate times require desperate measures,الغریق یتشبث بکل حشیش,8
devil lies in the details,شیطان در جزئیات است,4
different clowns same circus,آش همان آش است و کاسه همان کاسه,9
different strokes for different folks,هر کسی را بهر کاری ساختند,9
discretion is the better part of valor,عاقلانه فرار کن، شجاعانه نمیر,6
discretion is the better part of valour,عاقلانه فرار کن، شجاعانه نمیر,6
divide and conquer,تفرقه بینداز و حکومت کن,10
do as you would be done by,آنچه برای خود می‌پسندی برای دیگران هم بپسند,10
do not bite the hand that feeds you,نمک خوردی نمکدان نشکن,10
do not burn your bridges behind you,پل‌های پشت سرت را خراب نکن,9
do not carry coals to newcastle,زیره به کرمان نبَر,10
do not cast your pearls before swine,گوش خر نرود جز به چماق,6
do not change horses in midstream,وسط کار اسب عوض نمی‌کنند,8
do not count your chickens before they are hatched,جوجه را آخر پاییز می‌شمارند,10
do not cross the bridge till you come to it,تا نیامده غصه‌اش را نخور,8
do not cry over spilled milk,آبِ رفته به جوی بازنمی‌گردد,9
do not cut off your nose to spite your face,چوبِ دو سر طلا برای خودت درست نکن,4
do not dish it if you can't take it,ظرفیت نداری کل‌کل نکن,3
do not judge a book by its cover,از روی ظاهر قضاوت نکن,7
do not let the bastards grind you down,کم نیار,4
do not let the grass grow beneath (one's) feet,فرصت را از دست نده,5
do not look a gift horse in the mouth,اسبِ پیشکشی را دندانش را نمی‌شمارند,10
do not make a mountain out of a mole hill,از کاه کوه نساز,10
do not meet troubles half-way,تا نیامده غصه‌اش را نخور,8
do not put all your eggs in one basket,همه تخم‌مرغ‌هایت را در یک سبد نگذار,9
do not put off until tomorrow what you can do today,کار امروز را به فردا مینداز,10
do not put the cart before the horse,ارابه را جلوی اسب نبند,6
do not put too many irons in the fire,صد تا نخ را به یک سوزن نزن,4
do not rock the boat,آب را گل‌آلود نکن,6
do not shut/lock the stable door after the horse has bolted,بعد از رفتنِ سارا یادِ گُلِ نرگس می‌افتی,5
do not spend it all in one place,همه پولت را یک‌جا خرج نکن,7
do not spoil the ship for a ha'porth of tar,به خاطر یک قران صد دینار را از دست نده,6
do not teach your grandmother to suck eggs,جلوی استاد ادا درنیار,6
do not throw pearls to swine,گوش خر نرود جز به چماق,6
do not throw the baby out with the bathwater,با نخاله، جنس را دور نریز,3
do not try to walk before you can crawl,هنوز دندون درنیاورده می‌خواد گردو بشکنه,7
do not upset the apple-cart,بساط را به‌هم نریز,6
do not wash your dirty linen in public,آبرو را نباید در کوچه و بازار ریخت,7
do unto others as you would have them do unto you,با دیگران چنان کن که می‌خواهی با تو چنان کنند,9
"doctor, heal thyself",طبیب اول باید خودش را دوا کند,6
don't change a winning team,اسب برنده را عوض نمی‌کنند,8
don't count your chickens,جوجه را آخر پاییز می‌شمارند,9
don't count your chickens before the eggs have hatched,جوجه را آخر پاییز می‌شمارند,10
don't count your chickens before they're hatched,جوجه را آخر پاییز می‌شمارند,10
don't count your chickens before they've hatched,جوجه را آخر پاییز می‌شمارند,10
don't count your chicks,جوجه را آخر پاییز می‌شمارند,8
don't count your chicks before they hatch,جوجه را آخر پاییز می‌شمارند,10
don't count your chicks before they're hatched,جوجه را آخر پاییز می‌شمارند,10
don't cry over spilled milk,آب ریخته به جوی برنمی‌گردد,9
don't dip your pen in company ink,سر کار نباید قاطی زندگی بشوی,4
don't drive faster than your guardian angel can fly,آن‌قدر تند نرو که فرشتهٔ نگهبانت جا بماند,3
don't fish off the company dock,سر کار نباید قاطی زندگی بشوی,4
don't get above your raising,گلیم خودت را از آب بکش بیرون,2
"don't get mad, get even",جواب دندان را با دندان می‌دهند,6
don't get your honey where you make your money,سر کار نباید قاطی زندگی بشوی,5
don't get your hopes up,دلت را صابون نزن,9
don't get your meat where you get your bread,سر کار نباید قاطی زندگی بشوی,5
"don't hate the player, hate the game",عیب از مسلمانی ماست نه از اسلام,6
don't judge a book by its cover,از روی ظاهر قضاوت نکن,8
don't keep a dog and bark yourself,نوکر نگه نمی‌دارند که خودشان کار کنند,6
don't look a gift horse in the mouth,اسب پیشکشی را دندانش را نمی‌شمارند,10
don't mess with success,اسب برنده را عوض نمی‌کنند,8
don't put all your eggs in one basket,همهٔ تخم‌مرغ‌هایت را در یک سبد نگذار,9
don't sell the skin till you have caught the bear,تا شکار نکردی از گوشتش حرف نزن,3
don't shit in your own nest,تو لانهٔ خودت کثافت‌کاری نکن,3
don't shit where you eat,تو سفرهٔ خودت کثافت‌کاری نکن,3
don't shoot the messenger,پیغام‌رسان را نباید زد,7
don't sweat the small stuff,بی‌خودی خودت را برای چیزهای کوچک حرص نده,5
don't take any wooden nickels,گول ظاهر را نخور,4
don't teach your grandmother how to milk ducks,زیره به کرمان نبرید,9
don't teach your grandmother to steal sheep,زیره به کرمان نبرید,9
don't try to teach grandma how to suck eggs,زیره به کرمان نبرید,10
"doubt is the beginning, not the end, of wisdom",شک، مادرِ یقین است,8
drastic times call for drastic measures,چارهٔ کارهای سخت، تدبیر سخت است,3
dripping water hollows a stone,قطره قطره جمع گردد وانگهی دریا شود,7
drunk words are sober thoughts,مست مستوره‌اش را می‌گوید,8
drunken words are sober thoughts,مست مستوره‌اش را می‌گوید,9
e pluribus unum,اتحاد رمز پیروزی است,6
each to his own,هر کسی را بهر کاری ساختند,8
"early to bed and early to rise makes a man healthy, wealthy and wise",سحرخیز باش تا کامروا شوی,10
"early to bed, early to rise, makes a man healthy, wealthy and wise",سحرخیز باش تا کامروا شوی,10
easier said than done,گفتنش از کردش آسان‌تر است,10
"east is east, and west is west",خاور خاور است و باختر باختر,4
"east, west, home is best",هیچ جا خونه خود آدم نمی‌شه,10
"easy come, easy go",باد آورده را باد می‌برد,10
"eat to live, not live to eat",آدم نباید بنده شکم باشد,7
"eat, drink and be merry",خوش باش که دنیا به کسی وفا نکرده,7
"eat, drink and be merry for tomorrow we die",خوش باش که دنیا به کسی وفا نکرده,7
"eat, drink and be merry, for tomorrow we die",خوش باش که دنیا به کسی وفا نکرده,7
"eat, drink, and be merry",خوش باش که دنیا به کسی وفا نکرده,7
"eat, drink, and be merry, for tomorrow we die",خوش باش که دنیا به کسی وفا نکرده,7
eaten bread is soon forgotten,نانت را که خوردند یادت را می‌برند,8
empty barrels make the most noise,دیگ که خالیه بیشتر صدا می‌کنه,9
empty cans make the most noise,دیگ که خالیه بیشتر صدا می‌کنه,9
empty vessels make the most noise,دیگ که خالیه بیشتر صدا می‌کنه,10
empty vessels make the most sound,دیگ که خالیه بیشتر صدا می‌کنه,10
enough is as good as a feast,اندازه نگه دار که اندازه نکوست,8
est modus in rebus,در هر کاری اعتدال نیکوست,7
even a blind pig can find an acorn,کور هم گاهی راهش را پیدا می‌کند,6
even a blind pig can find an acorn once in a while,کور هم گاهی راهش را پیدا می‌کند,7
even a blind squirrel can find a nut once in a while,کور هم گاهی راهش را پیدا می‌کند,7
even a blind squirrel finds an acorn every now and then,کور هم گاهی راهش را پیدا می‌کند,7
even a blind squirrel finds an acorn every once in a while,کور هم گاهی راهش را پیدا می‌کند,7
even a broken clock is right twice a day,ساعت خوابیده هم روزی دو بار درست وقت را نشان می‌دهد,6
even a stopped clock is right twice a day,ساعت خوابیده هم روزی دو بار درست وقت را نشان می‌دهد,6
even a worm will turn,صبر ایوب هم حدی دارد,6
even from a foe a man may learn wisdom,حکمت را از هر جا پیدا کردی بردار,9
even homer nods,اسب هم لغزش دارد,5
even jove nods,اسب هم لغزش دارد,5
every barrel has a rotten apple,در هر گلی خاری هست,6
every cloud has a silver lining,عاقبت جوینده یابنده است,6
every dark cloud has a silver lining,پایان شب سیه سپید است,10
every day is a school day,ز گهواره تا گور دانش بجوی,9
every dog has his day,هر کسی را روزی و مقامی است,7
every dog has its day,هر کسی را روزی و مقامی است,7
every dog must have his day,هر کسی را روزی و مقامی است,7
every dog must have its day,هر کسی را روزی و مقامی است,7
every jack has his jill,هر گلی را بویی است,5
every law has a loophole,قانون برای دور زدن است,6
every law has its loophole,قانون برای دور زدن است,6
every little bit helps,قطره قطره جمع گردد وانگهی دریا شود,10
every little helps,قطره قطره جمع گردد وانگهی دریا شود,10
every man for himself,هر که به فکر خویش است,8
every man has a price,هر کسی را بهایی است,6
every man has his price,هر کسی را بهایی است,6
every man is the architect of his own fortune,هر کس خشت اول را کج بگذارد تا ثریا کج می‌رود,5
every miller draws water to his own mill,هر کسی ساز خودش را می‌زند,8
every picture tells a story,یک تصویر به هزار حرف می‌ارزد,7
every rose has a thorn,گل بی‌خار خداست,8
every rose has its thorn,گل بی‌خار خداست,8
every rule has an exception,هر قاعده‌ای استثنا دارد,9
every shut eye isn't asleep,هر که چشمش بسته است خواب نیست,5
every stick has two ends,هر کاری دو سر دارد,6
every tide has its ebb,هر عروجی سقوطی دارد,6
everybody wants to go to heaven but nobody wants to die,هم خدا را می‌خواهد هم خرما را,8
everyone has their price,هر کسی را بهایی است,7
everything comes to those who wait,گر صبر کنی ز غوره حلوا سازی,10
everything happens for a reason,هیچ چیز بی‌حکمت نیست,7
everything is fair in love and war,در عشق و جنگ همه چیز مجاز است,6
everything old is new again,هیچ چیز زیر آفتاب تازه نیست,5
evil be to him who evil thinks,از کوزه همان برون تراود که در اوست,6
experience is the best teacher,تجربه بهترین معلم است,9
fact is stranger than fiction,واقعیت از خیال عجیب‌تر است,5
facts speak louder than words,عمل از حرف رساتر است,8
failure is the best teacher,شکست پل پیروزی است,9
failure to prepare is preparing to fail,جلو ضرر را از هر جا بگیری منفعت است,6
faint heart never won fair lady,دل به دریا نزنی ماهی نمی‌گیری,8
fair exchange is no robbery,حساب حساب است، کاکا برادر,7
faith can move mountains,خواستن توانستن است,7
faith will move mountains,خواستن توانستن است,7
"fall seven times, stand up eight",مرد آن است که در کشاکش دهر سنگ زیرین آسیا باشد,8
false friends are worse than open enemies,از دشمن نترس، از دوست نادان بترس,10
familiarity breeds contempt,حرمت امامزاده را متولی نگه می‌دارد,7
fas est et ab hoste doceri,ز گهواره تا گور دانش بجوی,6
fight fire with fire,چون که با خصم درآیی به درشتی درآی,6
finders keepers,مال پیدا، حلال است,7
"finders, keepers",مال پیدا، حلال است,7
"finders, keepers; losers, weepers",مال پیدا، حلال است,7
