en,de,confidence
"a new broom sweeps clean, but the old broom knows the corners","Neue Besen kehren gut, aber die alten kennen die Ecken",10
a new language is a new life,Eine neue Sprache ist wie ein neues Leben,7
a nod is as good as a wink,Ein Wink mit dem Zaunpfahl,4
a penny saved is a penny earned,"Wer den Pfennig nicht ehrt, ist des Talers nicht wert",9
a penny saved is a penny gained,"Wer den Pfennig nicht ehrt, ist des Talers nicht wert",9
actions have consequences,Jede Tat hat ihre Folgen,8
actions speak louder than words,Taten sagen mehr als Worte,10
adversity makes strange bedfellows,Not schweißt zusammen,7
age is just a number,"Man ist so alt, wie man sich fühlt",10
"all animals are equal, but some animals are more equal than others","Alle sind gleich, aber manche sind gleicher",10
all cats are gray at night,Bei Nacht sind alle Katzen grau,10
all cats are gray in the dark,Bei Nacht sind alle Katzen grau,10
all cats are grey at night,Bei Nacht sind alle Katzen grau,10
all cats are grey by night,Bei Nacht sind alle Katzen grau,10
all cats are grey in the dark,Bei Nacht sind alle Katzen grau,10
all good things come to an end,"Alles hat ein Ende, nur die Wurst hat zwei",9
all good things come to him who waits,Gut Ding will Weile haben,10
all good things must come to an end,"Alles hat ein Ende, nur die Wurst hat zwei",9
all hands on deck/to the pump,Alle Mann an Deck,8
all is fair in love and war,In der Liebe und im Krieg ist alles erlaubt,9
all is fish that comes to the net,"Alles ist Fisch, der ins Netz geht",7
all is for the best in the best of all possible worlds,Alles ist zum Besten,5
all is grist that comes to the mill,Alles ist ihm recht,5
all is well that ends well,"Ende gut, alles gut",10
all publicity is good publicity,Auch schlechte Werbung ist Werbung,9
all roads lead to mecca,Viele Wege führen nach Rom,8
all roads lead to rome,Viele Wege führen nach Rom,10
all roads lead to sydney,Viele Wege führen nach Rom,8
all that glisters is not gold,"Es ist nicht alles Gold, was glänzt",10
all that glitters,"Es ist nicht alles Gold, was glänzt",6
all that glitters is not gold,"Es ist nicht alles Gold, was glänzt",10
all that glitters/glistens is not gold,"Es ist nicht alles Gold, was glänzt",10
all the world loves a lover,Verliebte sieht man gern,4
all the world's a stage,Die ganze Welt ist eine Bühne,7
all things come to those who wait,Gut Ding will Weile haben,10
all things must pass,Alles vergeht,6
all work and no play makes jack a dull boy,Ohne Spaß wird man nicht alt,3
all you need is love,"Liebe ist alles, was du brauchst",6
all's fair in love and war,In der Liebe und im Krieg ist alles erlaubt,10
all's fish that comes to the net,"Alles ist Fisch, der ins Netz geht",7
all's well that ends well,"Ende gut, alles gut",10
almost doesn't count,Knapp daneben ist auch vorbei,10
almost only counts in horseshoes and hand grenades,Knapp daneben ist auch vorbei,9
an apple a day keeps the doctor at bay,Ein Apfel am Tag hält den Doktor fern,9
an apple a day keeps the doctor away,Ein Apfel am Tag hält den Doktor fern,9
an army marches on its stomach,Ohne Mampf kein Kampf,10
an englishman's home is his castle,Mein Zuhause ist meine Burg,6
an englishman's home is his castle/a man's home is his castle,Mein Zuhause ist meine Burg,6
an eye for an eye makes the whole world blind,Auge um Auge macht die ganze Welt blind,7
"an eye for an eye, a tooth for a tooth","Auge um Auge, Zahn um Zahn",10
an honest man doesn't need to remember much,"Wer die Wahrheit sagt, braucht ein gutes Gedächtnis nicht",8
an image is worth a thousand words,Ein Bild sagt mehr als tausend Worte,10
an ounce of prevention is better than a pound of cure,Vorsorge ist besser als Nachsorge,9
an ounce of prevention is better than an ounce of cure,Vorsorge ist besser als Nachsorge,9
an ounce of prevention is worth a pound of cure,Vorsorge ist besser als Nachsorge,9
another day in paradise,Wieder ein Tag im Paradies,6
"another day, another dollar","Wieder ein Tag, wieder ein Euro",5
any exposure is good exposure,Jede Werbung ist gute Werbung,7
any port in a storm,In der Not frisst der Teufel Fliegen,8
any press is good press,Jede Werbung ist gute Werbung,8
any publicity is good publicity,Jede Werbung ist gute Werbung,9
anything worth doing is hard,"Was sich lohnt, ist selten leicht",6
appearances are deceptive,Der Schein trügt,10
april showers bring forth may flowers,Aprilregen bringt Segen,7
april showers bring may flowers,Aprilregen bringt Segen,7
"art is long, life is short","Ars longa, vita brevis",10
"as a dog returns to his vomit, so a fool repeats his folly",Der Dumme macht jeden Fehler zweimal,6
"as a tree bends, so shall it grow","Was Hänschen nicht lernt, lernt Hans nimmermehr",7
"as one door closes, another opens","Wenn sich eine Tür schließt, öffnet sich eine andere",9
"as the mountain could not wait upon mahomet, mahomet would go to the mountain","Wenn der Berg nicht zum Propheten kommt, muss der Prophet zum Berg kommen",10
"as the twig is bent, so is the tree inclined","Was Hänschen nicht lernt, lernt Hans nimmermehr",8
"as you have brewed, so you must drink","Wie man sich bettet, so liegt man",9
"as you make your bed, so you must lie in it","Wie man sich bettet, so liegt man",10
"as you make your bed, so you must lie upon it","Wie man sich bettet, so liegt man",10
as you sow so shall you reap,"Wie man in den Wald hineinruft, so schallt es heraus",8
"as you sow, so shall you reap","Wie man in den Wald hineinruft, so schallt es heraus",8
ask a silly question and you will get a silly answer,"Wer dumme Fragen stellt, bekommt dumme Antworten",9
"ask a silly question, get a silly answer","Wer dumme Fragen stellt, bekommt dumme Antworten",9
"ask a stupid question, get a stupid answer","Wie man in den Wald hineinruft, so schallt es heraus",9
ask no questions and hear no lies,"Was ich nicht weiß, macht mich nicht heiß",8
at the end of my rope,mit seinem Latein am Ende sein,8
attack is the best form of defence,Angriff ist die beste Verteidigung,10
attack is the best form of defense,Angriff ist die beste Verteidigung,10
attitude reflects leadership,Der Fisch stinkt vom Kopf her,8
bad news travels fast,Schlechte Nachrichten verbreiten sich schnell,9
bad things come in threes,Ein Unglück kommt selten allein,9
barking dogs never bite,"Hunde, die bellen, beißen nicht",10
barking dogs seldom bite,"Hunde, die bellen, beißen nicht",10
be yourself,Bleib dir selbst treu,9
beauty is but skin-deep,Wahre Schönheit kommt von innen,8
beauty is in the eye of the beholder,Schönheit liegt im Auge des Betrachters,10
beauty is only skin deep,Wahre Schönheit kommt von innen,8
beauty never boiled the pot,Von Schönheit allein wird man nicht satt,9
beauty won't boil the pot,Von Schönheit allein wird man nicht satt,9
beauty won't make the pot boil,Von Schönheit allein wird man nicht satt,9
"beer before liquor, never been sicker; liquor before beer, you're in the clear","Wein auf Bier, das rat ich dir; Bier auf Wein, das lass sein",10
"before setting out on a mission of vengeance, dig two graves","Wer anderen eine Grube gräbt, fällt selbst hinein",8
beggars can't be choosers,Einem geschenkten Gaul schaut man nicht ins Maul,9
beggars cannot be choosers,Einem geschenkten Gaul schaut man nicht ins Maul,9
behind every great man is a great woman,Hinter jedem erfolgreichen Mann steht eine starke Frau,9
behind every great man there stands a woman,Hinter jedem erfolgreichen Mann steht eine starke Frau,9
"behind every great man, there is a great woman",Hinter jedem erfolgreichen Mann steht eine starke Frau,9
behind every successful man there stands a woman,Hinter jedem erfolgreichen Mann steht eine starke Frau,9
better an egg today than a hen tomorrow,Lieber den Spatz in der Hand als die Taube auf dem Dach,10
better is the enemy of good,Das Bessere ist der Feind des Guten,10
better late than never,Besser spät als nie,10
better one word in time than two afterwards,Ein gutes Wort zur rechten Zeit wirkt Wunder,6
better safe than sorry,Vorsicht ist besser als Nachsicht,10
better the devil you know,Besser den Spatz in der Hand als die Taube auf dem Dach,7
better the devil you know than the devil you don't,Besser den Spatz in der Hand als die Taube auf dem Dach,8
better the devil you know than the devil you don't know,Besser den Spatz in der Hand als die Taube auf dem Dach,8
better the devil you know than the one you don't,Besser den Spatz in der Hand als die Taube auf dem Dach,8
better the devil you know than the one you don't know,Besser den Spatz in der Hand als die Taube auf dem Dach,8
better to have loved and lost than never to have loved at all,Lieber geliebt und verloren als nie geliebt,6
better to light a candle than to curse the darkness,"Lieber ein Licht anzünden, als über die Dunkelheit klagen",7
better to light a single candle than to curse the darkness,"Lieber ein Licht anzünden, als über die Dunkelheit klagen",7
better to light one candle than to curse the darkness,"Lieber ein Licht anzünden, als über die Dunkelheit klagen",7
better to light one small candle than to curse the darkness,"Lieber ein Licht anzünden, als über die Dunkelheit klagen",7
better to reign in hell than serve in heaven,Lieber Erster im Dorf als Zweiter in der Stadt,6
better to remain silent and be thought a fool than to speak and remove all doubt,"Reden ist Silber, Schweigen ist Gold",6
better wear out than rust out,Lieber abgenutzt als verrostet,4
beware of greeks bearing gifts,"Ich fürchte die Danaer, auch wenn sie Geschenke bringen",9
big fish eat little fish,Die Großen fressen die Kleinen,10
big things come in small packages,Kleine Geschenke erhalten die Freundschaft,3
bird in the hand,Besser den Spatz in der Hand als die Taube auf dem Dach,10
birds of a feather,Gleich und Gleich gesellt sich gern,9
birds of a feather flock together,Gleich und Gleich gesellt sich gern,10
birds of the feather flock together,Gleich und Gleich gesellt sich gern,9
bis dat qui cito dat,Schnelle Hilfe ist doppelte Hilfe,9
blood is thicker than water,Blut ist dicker als Wasser,10
born with a silver spoon in one's mouth,Mit dem goldenen Löffel im Mund geboren sein,8
boys will be boys,Jungen bleiben Jungen,5
brevity is the soul of wit,In der Kürze liegt die Würze,10
bros before hoes,Kumpels gehen vor,4
bros before hos,Kumpels gehen vor,4
business before pleasure,"Erst die Arbeit, dann das Vergnügen",10
"buy cheap, buy twice","Wer billig kauft, kauft zweimal",10
"by failing to prepare, you are preparing to fail","Wer nicht plant, plant sein Scheitern",4
caesar's wife must be above suspicion,Die Frau des Kaisers muss über jeden Zweifel erhaben sein,8
calm seas never made a good sailor,Glatter See macht keinen guten Seemann,7
"can't live with 'em, can't live without 'em","Mit ihnen geht es nicht, ohne sie auch nicht",6
can't live with them and can't live without them,"Mit ihnen geht es nicht, ohne sie auch nicht",6
"can't live with them, can't live without them","Mit ihnen geht es nicht, ohne sie auch nicht",6
"cannot live with them, cannot live without them","Mit ihnen geht es nicht, ohne sie auch nicht",6
care killed a cat,Zu viel Sorge tut nicht gut,3
care killed the cat,Zu viel Sorge tut nicht gut,3
careless talk costs lives,Wände haben Ohren,7
carpe diem,Nutze den Tag,9
cast not a clout till may be out,"Der April macht, was er will",6
caveat lector,"Trau, schau, wem",6
charity begins at home,Nächstenliebe beginnt zu Hause,8
cheaters never prosper,Ehrlich währt am längsten,10
cheats never prosper,Ehrlich währt am längsten,10
"cheese, wine, and friends must be old to be good",Alter Wein und alte Freunde sind die besten,9
children should be seen and not heard,"Kinder sollen still sein, wenn die Erwachsenen reden",7
christmas comes but once a year,Weihnachten ist nur einmal im Jahr,9
civility costs nothing and buys everything,Freundlichkeit kostet nichts,8
cleanliness is next to godliness,Ordnung ist das halbe Leben,6
clogs to clogs in three generations,"Vater schafft’s, Sohn erhält’s, Enkel verspielt’s",9
clothes don't make the man,Kleider machen Leute nicht,5
clothes make the man,Kleider machen Leute,10
clothes maketh the man,Kleider machen Leute,10
"cobbler, keep to your last","Schuster, bleib bei deinen Leisten",10
"cold hands, warm heart","Kalte Hände, warmes Herz",10
comparison is the thief of joy,Vergleiche machen unglücklich,6
comparisons are odious,Vergleiche hinken,8
cool heads must prevail,Nur mit kühlem Kopf kommt man weiter,6
cool heads prevail,Ein kühler Kopf setzt sich durch,6
cool heads will prevail,Am Ende setzt sich der kühle Kopf durch,6
cooler heads must prevail,Nur mit kühlem Kopf kommt man weiter,6
cooler heads prevail,Ein kühler Kopf setzt sich durch,6
cooler heads will prevail,Am Ende setzt sich der kühle Kopf durch,6
count your blessings,Zähle deine Segnungen,5
cowards may die many times before their death,Feiglinge sterben tausend Tode,8
cream rises,Die Spreu trennt sich vom Weizen,7
crime does not pay,Verbrechen lohnt sich nicht,10
crime doesn't pay,Verbrechen lohnt sich nicht,10
cross my heart and hope to die stick a needle in my eye,Ich schwöre bei meinem Leben,6
cross the stream where it is shallowest,Man soll den Weg des geringsten Widerstands gehen,5
curiosity killed the cat,Neugier ist der Katze Tod,8
curses like chickens come home to roost,"Wie man in den Wald hineinruft, so schallt es heraus",6
cut your coat according to your cloth,Man muss den Gürtel nach dem Lappen schneiden,7
dance with the one that brought ya,"Man soll den Ast nicht absägen, auf dem man sitzt",6
dance with the one that brought you,"Man soll den Ast nicht absägen, auf dem man sitzt",6
dance with the one that brung ya,"Man soll den Ast nicht absägen, auf dem man sitzt",6
dance with the one that brung you,"Man soll den Ast nicht absägen, auf dem man sitzt",6
dance with the one what brought ya,"Man soll den Ast nicht absägen, auf dem man sitzt",6
dance with the one what brought you,"Man soll den Ast nicht absägen, auf dem man sitzt",6
dance with the one what brung ya,"Man soll den Ast nicht absägen, auf dem man sitzt",6
dance with the one what brung you,"Man soll den Ast nicht absägen, auf dem man sitzt",6
dance with the one who brought ya,"Man soll den Ast nicht absägen, auf dem man sitzt",6
dance with the one who brought you,"Man soll den Ast nicht absägen, auf dem man sitzt",6
dance with the one who brung ya,"Man soll den Ast nicht absägen, auf dem man sitzt",6
dance with the one who brung you,"Man soll den Ast nicht absägen, auf dem man sitzt",6
danger past and god forgotten,"Ist die Not vorbei, wird Gott vergessen",9
danger past god forgotten,"Ist die Not vorbei, wird Gott vergessen",9
danger past god is forgotten,"Ist die Not vorbei, wird Gott vergessen",9
dead men can tell no tales,Tote reden nicht,8
dead men tell no tales,Tote reden nicht,9
death is the great leveller,Vor dem Tod sind alle gleich,8
desperate times call for desperate measures,Not kennt kein Gebot,9
desperate times require desperate measures,Not kennt kein Gebot,9
devil lies in the details,Der Teufel steckt im Detail,10
devil take the hindmost,"Rette sich, wer kann",8
different clowns same circus,"Andere Herren, gleiche Hunde",4
different strokes for different folks,Jedem Tierchen sein Pläsierchen,9
discretion is the better part of valor,Lieber feige leben als mutig sterben,7
discretion is the better part of valour,Lieber feige leben als mutig sterben,7
divide and conquer,Teile und herrsche,10
do as i say and not as i do,"Mach, was ich sage, nicht was ich tue",6
do as i say not as i do,"Mach, was ich sage, nicht was ich tue",6
do as you would be done by,"Was du nicht willst, dass man dir tu, das füg auch keinem andern zu",10
do not bite the hand that feeds you,"Beiß nicht in die Hand, die dich füttert",10
do not burn your bridges behind you,Verbrenne nicht die Brücken hinter dir,6
do not carry coals to newcastle,Eulen nach Athen tragen,10
do not cast your pearls before swine,Perlen vor die Säue werfen,10
do not change horses in midstream,Wechsle nicht die Pferde mitten im Rennen,6
do not count your chickens before they are hatched,Man soll den Tag nicht vor dem Abend loben,9
do not cross the bridge till you come to it,Kümmere dich nicht um ungelegte Eier,8
do not cry over spilled milk,"Es nützt nichts, über verschüttete Milch zu weinen",7
do not cut off your nose to spite your face,Sich ins eigene Fleisch schneiden,8
do not dish it if you can't take it,"Wer austeilt, muss auch einstecken können",10
do not judge a book by its cover,Beurteile ein Buch nicht nach seinem Einband,6
do not keep a dog and bark yourself,"Wer einen Hund hat, braucht nicht selbst zu bellen",5
do not let the bastards grind you down,Lass dich nicht unterkriegen,9
do not let the grass grow beneath (one's) feet,Kein Gras unter den Füßen wachsen lassen,8
do not look a gift horse in the mouth,Einem geschenkten Gaul schaut man nicht ins Maul,10
do not make a mountain out of a mole hill,Mach aus einer Mücke keinen Elefanten,10
do not meet troubles half-way,Male den Teufel nicht an die Wand,7
do not put all your eggs in one basket,Setze nicht alles auf eine Karte,9
do not put new wine into old bottles,Neuer Wein gehört in neue Schläuche,8
do not put off until tomorrow what you can do today,"Was du heute kannst besorgen, das verschiebe nicht auf morgen",10
do not put the cart before the horse,Das Pferd nicht von hinten aufzäumen,10
do not put too many irons in the fire,Nicht zu viele Eisen im Feuer haben,7
do not rock the boat,Rühre nicht die Wogen auf,5
do not shut/lock the stable door after the horse has bolted,"Den Stall erst abschließen, wenn das Pferd schon durchgegangen ist",6
do not spend it all in one place,Verprasse nicht alles auf einmal,5
do not spoil the ship for a ha'porth of tar,Am falschen Ende sparen,8
do not teach your grandmother to suck eggs,Bring der Eule nicht das Fliegen bei,4
do not throw pearls to swine,Perlen vor die Säue werfen,10
do not throw the baby out with the bathwater,Das Kind nicht mit dem Bade ausschütten,10
do not try to walk before you can crawl,"Man muss laufen lernen, bevor man rennen kann",7
do not upset the apple-cart,Den Karren nicht umwerfen,4
do not wash your dirty linen in public,Schmutzige Wäsche wäscht man zu Hause,10
do unto others as you would have them do unto you,"Was du nicht willst, dass man dir tu, das füg auch keinem andern zu",10
"do what i say, not what i do","Mach, was ich sage, nicht was ich tue",6
"doctor, heal thyself","Arzt, heile dich selbst",7
doctors make the worst patients,Ärzte sind die schlechtesten Patienten,6
"dogs have masters, cats have staff","Hunde haben Herrchen, Katzen haben Personal",8
dogs have masters; cats have staff,"Hunde haben Herrchen, Katzen haben Personal",8
"dogs have owners, cats have staff",Katzen haben Personal,8
don't change a winning team,Never change a winning team,10
don't count your chickens,Man soll den Tag nicht vor dem Abend loben,10
don't count your chickens before the eggs have hatched,Man soll den Tag nicht vor dem Abend loben,10
don't count your chickens before they're hatched,Man soll den Tag nicht vor dem Abend loben,10
don't count your chickens before they've hatched,Man soll den Tag nicht vor dem Abend loben,10
don't count your chicks,Man soll den Tag nicht vor dem Abend loben,9
don't count your chicks before they hatch,Man soll den Tag nicht vor dem Abend loben,10
don't count your chicks before they're hatched,Man soll den Tag nicht vor dem Abend loben,10
don't cry over spilled milk,"Was geschehen ist, ist geschehen",8
don't dip your pen in company ink,"Wo du isst, da sollst du nicht fressen",6
don't drive faster than your guardian angel can fly,"Fahr nicht schneller, als dein Schutzengel fliegen kann",10
don't fish off the company dock,"Wo du isst, da sollst du nicht fressen",7
don't get above your raising,Bleib auf dem Teppich,6
don't get your honey where you make your money,"Wo du isst, da sollst du nicht fressen",8
don't get your hopes up,Mach dir keine falschen Hoffnungen,9
don't get your meat where you get your bread,"Wo du isst, da sollst du nicht fressen",8
don't judge a book by its cover,Beurteile ein Buch nicht nach seinem Einband,8
don't keep a dog and bark yourself,"Wer einen Hund hat, braucht nicht selbst zu bellen",6
don't look a gift horse in the mouth,Einem geschenkten Gaul schaut man nicht ins Maul,10
don't mess with success,Never change a winning team,9
don't put all your eggs in one basket,Setz nicht alles auf eine Karte,10
don't sell the skin till you have caught the bear,Man soll den Tag nicht vor dem Abend loben,8
don't shit in your own nest,Schieß nicht ins eigene Nest,9
don't shit where you eat,Schieß nicht ins eigene Nest,9
don't shoot the messenger,Schieß nicht auf den Boten,8
don't sweat the small stuff,Reg dich nicht über Kleinigkeiten auf,7
don't teach your grandmother how to milk ducks,Bring deiner Großmutter nicht das Eierlegen bei,4
don't teach your grandmother to steal sheep,Bring deiner Großmutter nicht das Eierlegen bei,4
don't try to teach grandma how to suck eggs,Bring deiner Großmutter nicht das Eierlegen bei,4
"doubt is the beginning, not the end, of wisdom",Zweifel ist der Anfang der Weisheit,9
drastic times call for drastic measures,Not kennt kein Gebot,8
dripping water hollows a stone,Steter Tropfen höhlt den Stein,10
"drop acid, not bombs","Stell dir vor, es ist Krieg, und keiner geht hin",6
drunk words are sober thoughts,Im Wein liegt Wahrheit,9
drunken words are sober thoughts,Im Wein liegt Wahrheit,9
e pluribus unum,Einigkeit macht stark,8
each to his own,Jedem das Seine,10
"early to bed and early to rise makes a man healthy, wealthy and wise",Morgenstund hat Gold im Mund,8
"early to bed, early to rise, makes a man healthy, wealthy and wise",Morgenstund hat Gold im Mund,8
easier said than done,Leichter gesagt als getan,10
"east is east, and west is west",Ost ist Ost und West ist West,7
"east, west, home is best","Trautes Heim, Glück allein",9
"easy come, easy go","Wie gewonnen, so zerronnen",10
"eat breakfast like a king, lunch like a prince and dinner like a pauper","Iss morgens wie ein Kaiser, mittags wie ein König und abends wie ein Bettler",10
"eat to live, not live to eat","Wir leben nicht, um zu essen, wir essen, um zu leben",9
"eat, drink and be merry","Essen, trinken und fröhlich sein",7
"eat, drink and be merry for tomorrow we die","Lasst uns essen und trinken, denn morgen sind wir tot",7
"eat, drink and be merry, for tomorrow we die","Lasst uns essen und trinken, denn morgen sind wir tot",7
"eat, drink, and be merry","Essen, trinken und fröhlich sein",7
"eat, drink, and be merry, for tomorrow we die","Lasst uns essen und trinken, denn morgen sind wir tot",7
eaten bread is soon forgotten,"Gefressen, vergessen",6
empty barrels make the most noise,Leere Fässer machen den meisten Lärm,9
empty cans make the most noise,Leere Fässer machen den meisten Lärm,9
empty vessels make the most noise,Leere Fässer machen den meisten Lärm,9
empty vessels make the most sound,Leere Fässer machen den meisten Lärm,9
enough is as good as a feast,Genug ist so gut wie ein Festmahl,6
est modus in rebus,Maß halten in allen Dingen,7
even a blind pig can find an acorn,Auch ein blindes Huhn findet mal ein Korn,10
even a blind pig can find an acorn once in a while,Auch ein blindes Huhn findet mal ein Korn,10
even a blind squirrel can find a nut once in a while,Auch ein blindes Huhn findet mal ein Korn,10
even a blind squirrel finds an acorn every now and then,Auch ein blindes Huhn findet mal ein Korn,10
even a blind squirrel finds an acorn every once in a while,Auch ein blindes Huhn findet mal ein Korn,10
even a broken clock is right twice a day,Auch eine stehengebliebene Uhr geht zweimal am Tag richtig,9
even a stopped clock is right twice a day,Auch eine stehengebliebene Uhr geht zweimal am Tag richtig,9
even a worm will turn,Auch ein Wurm windet sich,5
even from a foe a man may learn wisdom,Auch vom Feind kann man lernen,7
even homer nods,Auch Homer nickt,6
every barrel has a rotten apple,In jedem Korb ist ein faules Ei,7
every cloud has a silver lining,Alles hat sein Gutes,8
every dark cloud has a silver lining,"Wo Schatten ist, ist auch Licht",7
every day is a school day,Man lernt nie aus,10
every dog has his day,Jeder kommt mal dran,7
every dog has its day,Jeder kommt mal dran,7
every dog must have his day,Einmal ist jeder an der Reihe,7
every dog must have its day,Einmal ist jeder an der Reihe,7
every jack has his jill,Jedes Töpfchen findet sein Deckelchen,10
every law has a loophole,"Wo ein Gesetz ist, ist auch ein Schlupfloch",6
every law has its loophole,"Wo ein Gesetz ist, ist auch ein Schlupfloch",6
every little bit helps,Kleinvieh macht auch Mist,10
every little helps,Kleinvieh macht auch Mist,10
every man for himself,Jeder ist sich selbst der Nächste,10
every man has a price,Jeder hat seinen Preis,10
every man has his price,Jeder hat seinen Preis,10
every man is the architect of his own fortune,Jeder ist seines Glückes Schmied,10
every miller draws water to his own mill,Jeder ist sich selbst der Nächste,8
every picture tells a story,Ein Bild sagt mehr als tausend Worte,10
every rose has a thorn,"Wo Licht ist, ist auch Schatten",8
every rose has its thorn,"Wo Licht ist, ist auch Schatten",8
every rule has an exception,Keine Regel ohne Ausnahme,10
every shut eye isn't asleep,"Es ist nicht alles, wie es scheint",7
every silver lining has a cloud,"Wo Licht ist, ist auch Schatten",9
every stick has two ends,Jede Medaille hat zwei Seiten,9
every tide has its ebb,Alles hat seine Zeit,7
everybody wants to go to heaven but nobody wants to die,"Alle wollen in den Himmel, aber keiner will sterben",10
everyone has their price,Jeder hat seinen Preis,10
everything comes to those who wait,Gut Ding will Weile haben,9
everything happens for a reason,Alles hat seinen Grund,8
everything is fair in love and war,In der Liebe und im Krieg ist alles erlaubt,8
everything old is new again,Alles kommt wieder,8
evil be to him who evil thinks,"Wer Böses denkt, ist selbst nicht besser",6
experience is the best teacher,Aus Erfahrung wird man klug,10
fact is stranger than fiction,Das Leben schreibt die besten Geschichten,8
facts speak louder than words,Taten sagen mehr als Worte,6
